framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1366.63	1927.54	1366.63	0.0002	20.5	99.2	100	100	90	54.74	34.9	12.45	0	996.79	0	0.039	3	444	299	68	83.56	13776.09
angular	True	13923	2.4	239051	74575	3	92.72	3.21	10725	216	2113.6	2495.3	2113.6	0.0001	29.3	95.8	100	100	90	14.2	59.8	19.93	0	965.82	0	-0.003	13	868	474	85	604.86	29635.29
jquery	True	1179	2.26	100009	34722	1	99.5	2.88	1588	117	1722.02	1851.31	1722.02	0.1459	0	93	100	99.2	90	14.43	64.8	21.6	0	960.3	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	727	2.21	60102	15752	1	98.82	3.82	1586	117	1589.51	1702.21	1589.51	0.055	0	99	96	100	90	46.61	44.8	14.1	0	973.44	0	0.046	8	1310	955	84	246.73	46709.68
preact	True	754	2.18	27622	10088	1	100	2.74	1023	104	1275.46	1580.8	1275.46	0.0001	0	100	100	100	90	14.58	30	10	0	953.45	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1322	2.25	91158	34628	13	100	2.63	1581	116	1416.51	2123	1416.51	1.0091	0	74	96	100	90	14.5	69.8	23.27	0	962.84	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1296	2.31	158538	50256	1	100	3.15	1023	105	1921.97	2234.25	1921.97	0.0002	45.9	96.4	100	100	90	14.19	54.8	18.27	0	958.45	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1126	2.18	26458	9243	1	100	2.86	1574	117	1271.84	1575.86	1271.84	0.0001	0	100	100	100	90	14.5	59.8	19.93	0	954.48	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3117	2.27	115502	38336	11	69.89	3.01	1023	104	1700.39	2032.05	1700.39	0	0	98	100	96	90	14.79	74.7	24.9	0	944.8	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1393.57	1527.1	1393.57	0.146	0	94	100	96	90	49.18	64.8	20.77	0	982.97	0	0.05	3	560	426	74	71.69	20768.9
vanjs	True	664	2.17	17211	5999	1	96.97	2.87	1024	104	1245.17	1514.97	1245.17	0.0001	0	100	100	100	90	42.88	44.8	13.28	0	962.86	0	0.043	3	743	388	76	74.17	22895.14
vue	True	1344	2.23	76585	29349	1	100	2.61	1580	117	1553.28	1898.41	1553.28	0.0001	0	99	100	100	90	14.39	34.9	11.63	0	954.6	0	-0.005	11	677	217	57	686.46	10853.47
