framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1469.73	1894.8	1469.73	0.0003	20.5	99	100	100	90	15.74	64.8	21.6	0	969.79	0	-0.002	3	444	299	68	83.56	13776.09
angular	True	13852	2.4	239051	74575	3	92.72	3.21	10899	220	2114.24	2495.36	2114.24	0.0001	28.6	95.8	100	100	90	13.8	54.8	18.27	0	980.9	0	-0.006	13	868	474	85	604.86	29635.29
jquery	True	1180	2.26	100009	34722	1	99.5	2.88	1601	117	1810.9	1849.19	1810.9	0.1459	0.1	92.8	100	99.2	90	14.23	24.9	8.3	0	975.62	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	734	2.21	60102	15752	1	98.82	3.82	1578	117	1509.55	1847.92	1509.55	0.055	0	99	96	100	90	25.05	19.9	6.63	0	961.34	0	0.011	8	1310	955	84	246.73	46709.68
preact	True	737	2.18	27622	10088	1	100	2.74	1023	104	1358.06	1632.08	1358.06	0.0001	0	100	100	100	90	13.26	29.9	9.97	0	970.11	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1311	2.25	91158	34628	13	100	2.63	1584	116	1415.79	2120.51	1415.79	0.6034	0	84	96	100	90	15.73	64.8	21.6	0	977.46	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1284	2.31	158538	50256	1	100	3.15	1022	104	1943.61	2248.31	1943.61	0.0002	37.8	96.6	100	100	90	16.53	10	3.33	0	974.29	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1103	2.18	26458	9243	1	100	2.86	1588	116	1364.25	1539.87	1364.25	0.0001	0	100	100	100	90	13.48	19.9	6.63	0	969.47	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	3086	2.27	115504	38342	11	69.89	3.01	1023	104	1664.48	2112.41	1664.48	0	0	98	100	96	90	14.2	10	3.33	0	960.19	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1214.57	1429.42	1214.57	0.146	0.2	94	100	96	90	25.42	0	0	0	962.62	0	0.012	3	560	426	74	71.69	20768.9
vanjs	True	652	2.17	17211	5999	1	96.97	2.87	1023	104	1212.94	1385.42	1212.94	0.0001	0	100	100	100	90	23.45	39.9	13.3	0	946.23	0	0.01	3	743	388	76	74.17	22895.14
vue	True	1338	2.23	76585	29349	1	100	2.61	1581	117	1657.09	1847.44	1657.09	0.0001	0	99	100	100	90	14.3	24.9	8.3	0	970.81	0	-0.006	11	677	217	57	686.46	10853.47
