framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1364.16	2018.24	1364.16	0.0003	27.2	99	100	100	90	16.18	104.6	34.87	0	973.71	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14102	2.4	239051	74575	3	92.72	3.21	11259	241	2105.57	2637.96	2105.57	0.0001	29.6	95	100	100	90	15.27	74.7	13.28	0	970.73	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1231	2.26	100009	34722	1	99.5	2.88	1592	117	1812.94	1984.81	1812.94	0.1459	0	92	100	99.2	90	15.02	69.7	23.23	0	964.06	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	753	2.21	60102	15752	1	98.82	3.82	1619	119	1509.14	1850.51	1509.14	0.055	1.2	99	96	100	90	16.18	59.7	19.9	0	961	0	0.001	8	1310	955	84	246.73	46709.68
preact	True	773	2.18	27622	10088	1	100	2.74	1025	105	1356.57	1659.86	1356.57	0.0001	0	100	100	100	90	15.07	74.5	24.83	0	963.37	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1412	2.25	91158	34628	13	100	2.63	1609	117	1432.26	2125.94	1432.26	0.6055	0	84	96	100	90	13.89	69.7	23.23	0	963.27	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1328	2.31	158538	50256	1	100	3.15	1024	105	1947.44	2251.26	1947.44	0.0001	42.8	96.4	100	100	90	14.19	54.7	18.23	0	963.15	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1149	2.18	26458	9243	1	100	2.86	1613	118	1362.14	1537.7	1362.14	0.0001	0	100	100	100	90	15.28	69.7	23.23	0	954	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3194	2.27	115504	38342	11	69.89	3.01	1032	104	1665.49	2053.27	1665.49	0	0	98.4	100	96	90	16.29	119.4	39.8	0	946.48	0	0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1211.72	1515.62	1211.72	0.1459	0	94	100	96	90	16.18	89.6	29.87	0	962.18	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	675	2.17	17211	5999	1	96.97	2.87	1023	104	1210.08	1389.72	1210.08	0.0001	0	100	100	100	90	15.26	44.9	14.97	0	957.24	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1419	2.23	76585	29349	1	100	2.61	1586	117	1657.5	1849.85	1657.5	0.0001	0	99	100	100	90	15.62	79.5	26.5	0	957.74	0	-0.003	11	677	217	57	686.46	10853.47
