framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1462.16	1885.19	1462.16	0.0003	21.5	99	100	100	90	15.22	0	0	0	972.8	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	13907	2.4	239051	74575	3	92.72	3.21	10876	222	2105.74	2636.8	2105.74	0.0001	28.2	95	100	100	90	15.1	0	0	0	973.87	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1183	2.26	100009	34722	1	99.5	2.88	1582	118	1810.4	1980.8	1810.4	0.1459	0	92	100	99.2	90	15.17	0	0	0	974.6	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	740	2.21	60102	15752	1	98.82	3.82	1593	117	1508.87	1852.11	1508.87	0.055	0.2	99	96	100	90	16.44	0	0	0	963.62	0	0.002	8	1310	955	84	246.73	46709.68
preact	True	738	2.18	27622	10088	1	100	2.74	1023	104	1362.76	1666.14	1362.76	0.0001	0	99.8	100	100	90	14.38	0	0	0	965.41	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1312	2.25	91158	34628	13	100	2.63	1584	117	1431.54	2122.86	1431.54	0.6057	0	84	96	100	90	14.95	0	0	0	969.88	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1305	2.31	158538	50256	1	100	3.15	1023	105	1940.47	2244.1	1940.47	0.0002	40.6	96.4	100	100	90	15.5	0	0	0	962.83	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1097	2.18	26458	9243	1	100	2.86	1578	116	1360.8	1537.9	1360.8	0.0001	0	100	100	100	90	14.44	0	0	0	958.76	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3086	2.27	115504	38339	11	69.89	3.01	1032	104	1666.64	2084.26	1666.64	0	0	98.2	100	96	90	15.19	0	0	0	959.05	0	0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1213.17	1517.56	1213.17	0.146	0	94	100	96	90	15.28	0	0	0	965.55	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	647	2.17	17211	5999	1	96.97	2.87	1023	104	1208.44	1387.06	1208.44	0.0001	0	100	100	100	90	16.27	0	0	0	962.56	0	0.007	3	743	388	76	74.17	22895.14
vue	True	1335	2.23	76585	29349	1	100	2.61	1585	117	1656.54	1848.41	1656.54	0.0001	0	99	100	100	90	14.32	15	5	0	957.32	0	-0.004	11	677	217	57	686.46	10853.47
