framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1367.59	2023.91	1367.59	0.0003	23.2	99	100	100	90	14.68	74.8	24.93	0	970.58	0	-0.003	3	444	299	68	83.56	13776.09
angular	True	14098	2.4	239051	74575	3	92.72	3.21	10888	224	2105.4	2484.3	2105.4	0.0001	26.2	96	100	100	90	16.65	29.9	9.97	0	981.89	0	-0.003	13	868	474	85	604.86	29635.29
jquery	True	1176	2.26	100009	34722	1	99.5	2.88	1596	117	1812.01	1948.82	1812.01	0.1459	0	92.2	100	99.2	90	16.32	64.8	21.6	0	978.7	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	736	2.21	60102	15752	1	98.82	3.82	1584	119	1510.24	1850.56	1510.24	0.055	0	99	96	100	90	18.61	64.8	21.6	0	961.73	0	0.003	8	1310	955	84	246.73	46709.68
preact	True	747	2.18	27622	10088	1	100	2.74	1023	104	1360.19	1665.28	1360.19	0.0001	0	99.8	100	100	90	16.11	39.7	13.23	0	971.27	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1335	2.25	91158	34628	13	100	2.63	1591	117	1400.56	2120.37	1400.56	0.6056	0	84	96	100	90	14.01	29.9	9.97	0	974.95	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1335	2.31	158538	50256	1	100	3.15	1023	105	1939.07	2244.01	1939.07	0.0001	62.4	95.8	100	100	90	15.98	24.9	8.3	0	972.44	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1108	2.18	26458	9243	1	100	2.86	1580	116	1357.32	1537.78	1357.32	0.0001	0	100	100	100	90	14.27	5	1.67	0	966.79	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3122	2.27	115502	38339	11	69.89	3.01	1031	104	1665.62	2054.44	1665.62	0	0.4	98.4	100	96	90	13.78	69.8	23.27	0	955.09	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1219.28	1465.71	1219.28	0.146	0	94	100	96	90	30.69	15	5	0	962.22	0	0.015	3	560	426	74	71.69	20768.9
vanjs	True	659	2.17	17211	5999	1	96.97	2.87	1023	104	1211.49	1390.03	1211.49	0.0001	0	100	100	100	90	22.97	54.8	18.27	0	949.19	0	0.01	3	743	388	76	74.17	22895.14
vue	True	1353	2.23	76585	29349	1	100	2.61	1591	118	1656.62	1846.53	1656.62	0.0001	0	99	100	100	90	16.85	10	3.33	0	969.84	0	-0.001	11	677	217	57	686.46	10853.47
