framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1565.3	2018.99	1565.3	0.0003	25.4	98.6	100	100	90	13.87	54.8	18.27	0	967.83	0	-0.004	3	444	299	68	83.56	13776.09
angular	True	14103	2.4	239051	74575	3	92.72	3.21	11018	226	2106.04	2488.46	2106.04	0.0001	29.4	96	100	100	90	15.46	64.8	21.6	0	983.98	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1189	2.26	100009	34722	1	99.5	2.88	1606	118	1820.45	1958.72	1820.45	0.1459	0	92.2	100	99.2	90	15.3	39.8	13.27	0	976.43	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	755	2.21	60102	15752	1	98.82	3.82	1585	117	1511.67	1854.11	1511.67	0.055	0	99	96	100	90	13.79	64.8	21.6	0	953.36	0	-0.006	8	1310	955	84	246.73	46709.68
preact	True	750	2.18	27622	10088	1	100	2.74	1024	104	1372.15	1677.23	1372.15	0.0001	0	99.4	100	100	90	16.52	59.7	19.9	0	971.21	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1336	2.25	91158	34628	13	100	2.63	1592	118	1416.39	2122.72	1416.39	0.6056	0	84	96	100	90	16.06	54.8	18.27	0	975.61	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1338	2.31	158538	50256	1	100	3.15	1023	105	1942.02	2245.63	1942.02	0.0002	62	95.8	100	100	90	16.15	74.8	24.93	0	973.8	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1119	2.18	26458	9243	1	100	2.86	1589	118	1369.17	1540.26	1369.17	0.0001	0	100	100	100	90	14.23	69.8	23.27	0	965.77	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3127	2.27	115502	38339	11	69.89	3.01	1029	104	1665.75	2024.43	1665.75	0	0	98.6	100	96	90	16.02	74.8	24.93	0	956.09	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1217.61	1463.48	1217.61	0.146	0	94	100	96	90	30.27	64.8	21.6	0	964.16	0	0.015	3	560	426	74	71.69	20768.9
vanjs	True	658	2.17	17211	5999	1	96.97	2.87	1022	104	1219.82	1390.03	1219.82	0.0001	0	100	100	100	90	25.09	69.8	23.27	0	946.84	0	0.01	3	743	388	76	74.17	22895.14
vue	True	1350	2.23	76585	29349	1	100	2.61	1594	117	1637.21	1859.81	1637.21	0.0001	0	99	100	100	90	15.69	69.8	23.27	0	971.38	0	-0.003	11	677	217	57	686.46	10853.47
