framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1361.64	1893.01	1361.64	0.0003	21.4	99.2	100	100	90	19.22	59.8	19.93	0	971.88	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	13698	2.4	239051	74575	3	92.72	3.21	10871	238	2105.68	2608.92	2105.68	0.0001	30.4	95.2	100	100	90	18.47	69.8	23.27	0	973.53	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1134	2.26	100009	34722	1	99.5	2.88	1592	117	1793	1982.3	1793	0.1459	0	92.2	100	99.2	90	18.19	94.7	31.57	0	959.92	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	698	2.21	60102	15752	1	98.82	3.82	1578	117	1505.99	1848.18	1505.99	0.055	1	99	96	100	90	14.88	64.8	21.6	0	959.05	0	-0.001	8	1310	955	84	246.73	46709.68
preact	True	684	2.18	27622	10088	1	100	2.74	1039	105	1366.6	1671.59	1366.6	0.0001	0	99.6	100	100	90	16.92	74.7	24.9	0	960.45	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1281	2.25	91158	34628	13	100	2.63	1576	116	1432.31	2126.45	1432.31	1.0069	0	74	96	100	90	13.57	39.9	13.3	0	966.4	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1253	2.31	158538	50256	1	100	3.15	1022	105	1925.29	2229.23	1925.29	0.0002	44	96.6	100	100	90	16.77	74.8	24.93	0	957.66	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1033	2.18	26458	9243	1	100	2.86	1574	116	1332.76	1540.64	1332.76	0.0001	0	99.8	100	100	90	17.44	64.8	21.6	0	955.58	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2940	2.27	115502	38339	11	69.89	3.01	1035	105	1663.93	2112.62	1663.93	0	0	98	100	96	90	29.72	99.7	33.23	0	956.37	0	0.008	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1214.3	1524.06	1214.3	0.1461	0	94	100	96	90	14.28	44.8	14.93	0	962.23	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	612	2.17	17211	5999	1	96.97	2.87	1023	105	1213.01	1395.92	1213.01	0.0001	0	100	100	100	90	12.99	69.8	23.27	0	954.74	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1322	2.23	76585	29349	1	100	2.61	1582	116	1655.3	1848.56	1655.3	0.0001	0	99	100	100	90	19.88	84.8	28.27	0	970.69	0	-0.005	11	677	217	57	686.46	10853.47
