framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1474.68	1926.37	1474.68	0.0003	20.1	99	100	100	90	54.72	39.8	11.6	0	1002.32	0	0.037	3	444	299	68	83.56	13776.09
angular	True	14801	2.4	239051	74575	3	92.72	3.21	11874	241	2141.37	2524.96	2141.37	0.0001	27.3	95.2	100	100	90	15.77	64.8	21.6	0	971.62	0	-0.002	13	868	474	85	604.86	29635.29
jquery	True	1256	2.26	100009	34722	1	99.5	2.88	1656	120	1718	1793.84	1718	0.1459	0	93	100	99.2	90	13.39	49.8	16.6	0	966.95	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	775	2.21	60102	15752	1	98.82	3.82	1633	119	1596.56	1709.13	1596.56	0.055	0	99	96	100	90	45	49.8	12.45	0	978.21	0	0.043	8	1310	955	84	246.73	46709.68
preact	True	796	2.18	27622	10088	1	100	2.74	1025	105	1255.79	1567.89	1255.79	0.0001	0	100	100	100	90	14.46	19.9	6.63	0	960.31	0	-0.002	12	776	461	101	585.8	25344.18
qwik	True	1421	2.25	91158	34628	13	100	2.63	1605	117	1416.75	2123.55	1416.75	0.8013	0	79	96	100	90	12.59	69.7	23.23	0	966.06	0	-0.008	16	754	414	83	862.46	26425.59
react	True	1439	2.31	158538	50256	1	100	3.15	1024	105	1873.93	2177.99	1873.93	0.0001	2.7	97.8	100	100	90	15.45	39.8	13.27	0	964.87	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1202	2.18	26458	9243	1	100	2.86	1629	118	1282.52	1525.39	1282.52	0.0001	0	100	100	100	90	12.61	29.9	13.3	0	963.18	15	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3270	2.27	115504	38338	11	69.89	3.01	1026	104	1682.57	2084.01	1682.57	0	0	98	100	96	90	13.12	39.8	13.27	0	951.18	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1398.34	1532.26	1398.34	0.146	0	94	100	96	90	49.58	64.8	19.92	0	988.98	0	0.051	3	560	426	74	71.69	20768.9
vanjs	True	684	2.17	17211	5999	1	96.97	2.87	1024	104	1255.9	1551.6	1255.9	0.0001	0	100	100	100	90	42.12	34.9	11.62	0	969.9	0	0.041	3	743	388	76	74.17	22895.14
vue	True	1437	2.23	76585	29349	1	100	2.61	1653	119	1573.22	1857.32	1573.22	0.0001	0	99	100	100	90	14.73	49.8	16.6	0	961.95	0	-0.004	11	677	217	57	686.46	10853.47
