framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1462.05	2012.18	1462.05	0.0003	25.2	98.8	100	100	90	15.3	0	0	0	973.92	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	14929	2.4	239051	74575	3	92.72	3.21	10904	221	2107.41	2643.72	2107.41	0.0001	32.6	95	100	100	90	15.96	10	3.33	0	974.88	0	-0.001	13	868	474	85	604.86	29635.29
jquery	True	1191	2.26	100009	34722	1	99.5	2.88	1574	119	1807.27	1977.3	1807.27	0.1459	0	92	100	99.2	90	15.41	0	0	0	961.97	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	732	2.21	60102	15752	1	98.82	3.82	1590	118	1515.47	1851.81	1515.47	0.055	3.6	99	96	100	90	14.62	0	0	0	962.86	0	0	8	1310	955	84	246.73	46709.68
preact	True	761	2.18	27622	10088	1	100	2.74	1023	104	1364.25	1667.68	1364.25	0.0001	0	99.8	100	100	90	15.48	0	0	0	958.67	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1348	2.25	91158	34628	13	100	2.63	1583	117	1416.78	2123.82	1416.78	1.0048	0	74	96	100	90	15.41	0	0	0	961.9	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1382	2.31	158538	50256	1	100	3.15	1023	105	1940.55	2244.52	1940.55	0.0002	70.6	95.4	100	100	90	15.98	0	0	0	968.17	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1140	2.18	26458	9243	1	100	2.86	1587	115	1358.62	1543.73	1358.62	0.0001	0	99.8	100	100	90	11.25	0	0	0	956.75	0	-0.009	12	786	458	98	581.44	26202.05
svelte	True	3091	2.27	115502	38337	11	69.89	3.01	1031	104	1667.52	2085.75	1667.52	0	0.5	98.2	100	96	90	10.59	0	0	0	945.04	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1214	1518.66	1214	0.1461	0	94	100	96	90	14.68	0	0	0	955.71	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	656	2.17	17211	5999	1	96.97	2.87	1023	104	1214.39	1388.88	1214.39	0.0001	0	100	100	100	90	16.41	0	0	0	952.51	0	0.006	3	743	388	76	74.17	22895.14
vue	True	1352	2.23	76585	29349	1	100	2.61	1590	117	1625.61	1849.22	1625.61	0.0001	0	99	100	100	90	14.8	0	0	0	958.53	0	-0.005	11	677	217	57	686.46	10853.47
