framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1371.51	1762.04	1371.51	0.0003	20.7	99.4	100	100	90	16.78	69.8	23.27	0	1006.08	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	14322	2.4	239051	74575	3	92.72	3.21	11103	230	2105.85	2611.37	2105.85	0.0001	32.6	95.2	100	100	90	15.5	39.8	7.47	0	1001.66	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1215	2.26	100009	34722	1	99.5	2.88	1593	118	1812.33	2000.69	1812.33	0.1459	0	92	100	99.2	90	21.47	89.6	29.87	0	989.38	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	747	2.21	60102	15752	1	98.82	3.82	1616	118	1508.76	1851.34	1508.76	0.055	4	99	96	100	90	18.63	89.4	29.8	0	971.57	0	0.001	8	1310	955	84	246.73	46709.68
preact	True	756	2.18	27622	10088	1	100	2.74	1023	104	1359.9	1664.85	1359.9	0.0001	0	99.6	100	100	90	15.5	74.8	24.93	0	972.73	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1351	2.25	91158	34628	13	100	2.63	1607	117	1417.67	2126.3	1417.67	0.7933	0	78.8	96	100	90	20.79	109.3	36.43	0	984.84	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1344	2.31	158538	50256	1	100	3.15	1023	105	1957.96	2261.93	1957.96	0.0002	0	97	100	100	90	19.31	49.7	16.57	0	972.2	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1144	2.18	26458	9243	1	100	2.86	1588	117	1356.88	1540.72	1356.88	0.0001	0	100	100	100	90	21.2	104.5	34.83	0	986.36	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	3162	2.27	115502	38339	11	69.89	3.01	1024	104	1668.6	2116.93	1668.6	0	0	98	100	96	90	16.53	49.8	16.6	0	957.7	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1217.03	1522.71	1217.03	0.146	0	94	100	96	90	16.57	74.7	24.9	0	974.95	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	668	2.17	17211	5999	1	96.97	2.87	1025	104	1214.33	1391.2	1214.33	0.0001	0	100	100	100	90	18.68	74.5	24.83	0	976.08	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1393	2.23	76585	29349	1	100	2.61	1634	117	1629.88	1855.23	1629.88	0.0001	0	99	100	100	90	19.13	74.6	24.87	0	976.21	0	-0.003	11	677	217	57	686.46	10853.47
