framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1399.35	1936.31	1399.35	0.0003	22.1	99.2	100	100	90	15.84	54.8	18.27	0	985.55	0	-0.004	3	444	299	68	83.56	13776.09
angular	True	14302	2.4	239051	74575	3	92.72	3.21	10999	225	2104.67	2515.01	2104.67	0.0001	28	95.8	100	100	90	17.84	29.9	5.82	0	996.16	0	-0.001	13	868	474	85	604.86	29635.29
jquery	True	1227	2.26	100009	34722	1	99.5	2.88	1624	118	1811.38	1917.65	1811.38	0.1459	0	92.4	100	99.2	90	17.29	59.8	19.93	0	988.31	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	776	2.21	60102	15752	1	98.82	3.82	1614	119	1508.49	1849.34	1508.49	0.055	0	99	96	100	90	31.96	29.8	9.93	0	971.68	0	0.015	8	1310	955	84	246.73	46709.68
preact	True	752	2.18	27622	10088	1	100	2.74	1023	104	1358.9	1663.35	1358.9	0.0001	0	100	100	100	90	15.64	74.7	24.9	0	980.87	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1352	2.25	91158	34628	13	100	2.63	1621	118	1431.67	2124.37	1431.67	0.8073	0	79	96	100	90	18.21	69.7	23.23	0	995.04	0	-0.002	16	754	414	83	862.46	26425.59
react	True	1374	2.31	158538	50256	1	100	3.15	1023	105	1962.42	2236.54	1962.42	0.0001	51.6	96	100	100	90	18.14	25	8.33	0	986.48	0	0	13	762	438	90	634.69	24213.69
solid	True	1149	2.18	26458	9243	1	100	2.86	1591	117	1328.58	1511.07	1328.58	0.0001	0	100	100	100	90	15.51	34.9	11.63	0	980.92	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3103	2.27	115504	38342	11	69.89	3.01	1025	104	1664.39	2083.22	1664.39	0	2.9	98.2	100	96	90	15.28	39.9	13.3	0	968.13	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1217.43	1433.24	1217.43	0.146	0	94	100	96	90	15.71	30	10	0	977.78	0	-0.003	3	560	426	74	71.69	20768.9
vanjs	True	665	2.17	17211	5999	1	96.97	2.87	1024	104	1211.18	1391.98	1211.18	0.0001	0	100	100	100	90	28.03	34.9	11.63	0	963.94	0	0.013	3	743	388	76	74.17	22895.14
vue	True	1397	2.23	76585	29349	1	100	2.61	1601	118	1658.8	1852.4	1658.8	0.0001	0	99	100	100	90	17.04	59.8	19.93	0	984.41	0	-0.003	11	677	217	57	686.46	10853.47
