framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1371.02	2014.66	1371.02	0.0003	25.2	99	100	100	90	15.04	0	0	0	976.94	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	14001	2.4	239051	74575	3	92.72	3.21	10937	225	2105.82	2635.53	2105.82	0.0001	26.8	95	100	100	90	14.46	0	0	0	974.17	0	-0.005	13	868	474	85	604.86	29635.29
jquery	True	1185	2.26	100009	34722	1	99.5	2.88	1597	118	1810.01	1980.62	1810.01	0.1459	0	92	100	99.2	90	14.64	0	0	0	969.65	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	745	2.21	60102	15752	1	98.82	3.82	1592	117	1507.31	1847.57	1507.31	0.055	0.8	99	96	100	90	15.86	0	0	0	962.96	0	0.001	8	1310	955	84	246.73	46709.68
preact	True	752	2.18	27622	10088	1	100	2.74	1023	104	1363.14	1666.72	1363.14	0.0001	0	99.8	100	100	90	14.65	0	0	0	964	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1336	2.25	91158	34628	13	100	2.63	1606	117	1415.28	2119.93	1415.28	0.4148	0	88.8	96	100	90	14.95	0	0	0	963.7	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1310	2.31	158538	50256	1	100	3.15	1022	105	1935.97	2239.56	2076.65	0.0001	385.6	91.6	100	100	90	14.56	0	0	0	964.11	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1132	2.18	26458	9243	1	100	2.86	1600	115	1332.32	1537.79	1332.32	0.0001	0	99.8	100	100	90	14.98	0	0	0	962.45	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3109	2.27	115502	38338	11	69.89	3.01	1024	104	1662.97	2081.85	1662.97	0	5.2	98.2	100	96	90	15.12	0	0	0	948.19	0	0.015	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1213.71	1518.29	1213.71	0.146	0	94	100	96	90	15.58	0	0	0	962.57	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	652	2.17	17211	5999	1	96.97	2.87	1023	104	1213.13	1387.39	1213.13	0.0001	0	100	100	100	90	16.24	0	0	0	955.75	0	0.006	3	743	388	76	74.17	22895.14
vue	True	1371	2.23	76585	29349	1	100	2.61	1584	117	1655.36	1848.04	1655.36	0.0001	0	99	100	100	90	16.75	0	0	0	964.59	0	-0.004	11	677	217	57	686.46	10853.47
