framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1367.74	1885.64	1367.74	0.0003	20.7	99.2	100	100	90	19.43	10	3.33	0	977.52	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	14144	2.4	239051	74575	3	92.72	3.21	11210	227	2105.44	2637.15	2105.44	0.0001	29	95	100	100	90	17.76	134.4	44.8	0	975.4	0	-0.005	13	868	474	85	604.86	29635.29
jquery	True	1210	2.26	100009	34722	1	99.5	2.88	1610	117	1811.32	1982.18	1811.32	0.1459	0	92	100	99.2	90	19.38	124.3	43.1	0	969.46	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	746	2.21	60102	15752	1	98.82	3.82	1605	118	1509.46	1849.98	1509.46	0.055	1.2	99	96	100	90	12.83	144.4	48.13	0	962.57	0	-0.002	8	1310	955	84	246.73	46709.68
preact	True	740	2.18	27622	10088	1	100	2.74	1024	104	1365.97	1670.75	1365.97	0.0001	0	99.6	100	100	90	18.75	154.4	51.47	0	968.4	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1340	2.25	91158	34628	13	100	2.63	1603	117	1416	2121.39	1416	0.9892	0	74	96	100	90	19.32	144	48	0	972.32	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1309	2.31	158538	50256	1	100	3.15	1022	105	1959.34	2264.01	1959.34	0.0001	2	97	100	100	90	19.74	129.4	43.13	0	972.03	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1164	2.18	26458	9243	1	100	2.86	1586	117	1361.03	1538.24	1361.03	0.0001	0	100	100	100	90	19.77	149.4	49.8	0	967.84	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3163	2.27	115504	38342	11	69.89	3.01	1025	104	1666.25	2056.1	1666.25	0	0	98.4	100	96	90	19.02	139.4	46.47	0	954.95	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1215.55	1520.74	1215.55	0.146	0	94	100	96	90	19.54	129.5	43.17	0	967.28	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	671	2.17	17211	5999	1	96.97	2.87	1023	104	1212.16	1384.64	1212.16	0.0001	0	100	100	100	90	17.36	144	48	0	958.95	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1377	2.23	76585	29349	1	100	2.61	1583	117	1635.8	1856.3	1635.8	0.0001	0	99	100	100	90	17.52	134.5	44.83	0	963.12	0	-0.005	11	677	217	57	686.46	10853.47
