framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1369.63	2013.8	1369.63	0.0003	23.4	99	100	100	90	17.38	59.8	19.93	0	972.1	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14012	2.4	239051	74575	3	92.72	3.21	10969	226	2105.34	2635.81	2105.34	0.0001	27.8	95	100	100	90	13.72	39.8	7.47	0	967.48	0	-0.005	13	868	474	85	604.86	29635.29
jquery	True	1208	2.26	100009	34722	1	99.5	2.88	1596	119	1787.55	1981.78	1787.55	0.1459	0	92.2	100	99.2	90	18.62	79.7	14.12	0	963.38	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	752	2.21	60102	15752	1	98.82	3.82	1586	118	1507.79	1848.08	1507.79	0.055	3	99	96	100	90	13.58	5	1.67	0	957.52	0	-0.002	8	1310	955	84	246.73	46709.68
preact	True	758	2.18	27622	10088	1	100	2.74	1024	104	1365.04	1669.16	1365.04	0.0001	0	99.8	100	100	90	18.41	69.8	23.27	0	956.18	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1335	2.25	91158	34628	13	100	2.63	1591	117	1386.29	2122.68	1386.29	0.8073	0	79	96	100	90	18.62	94.7	31.57	0	962.56	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1323	2.31	158538	50256	1	100	3.15	1023	105	1958.45	2262.67	1958.45	0.0001	0	97	100	100	90	19.51	44.8	14.93	0	959.77	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1106	2.18	26458	9243	1	100	2.86	1591	117	1332.16	1538.63	1332.16	0.0001	0	99.8	100	100	90	17.67	44.9	14.97	0	961.81	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3103	2.27	115504	38342	11	69.89	3.01	1025	104	1664.04	2082.69	1664.04	0	0	98.2	100	96	90	18.91	29.9	9.97	0	944.59	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1214.76	1519.69	1214.76	0.146	0	94	100	96	90	19.18	39.8	13.27	0	958.96	0	-0.017	3	560	426	74	71.69	20768.9
vanjs	True	665	2.17	17211	5999	1	96.97	2.87	1023	104	1213.56	1387.24	1213.56	0.0001	0	100	100	100	90	18.49	44.8	14.93	0	957.52	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1377	2.23	76585	29349	1	100	2.61	1604	118	1658.24	1851.15	1658.24	0.0001	0	99	100	100	90	17.69	84.6	28.2	0	960.69	0	-0.005	11	677	217	57	686.46	10853.47
