framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1683	2052.91	1683	0.0002	14.5	98.4	100	100	90	56.37	64.7	21.57	0	1002.72	0	0.039	3	444	299	68	83.56	13776.09
angular	True	14039	2.4	239051	74575	3	92.72	3.21	10953	224	2122.61	2502.92	2122.61	0.0001	27.8	95.6	100	100	90	14.77	0	0	0	974.53	0	-0.003	13	868	474	85	604.86	29635.29
jquery	True	1190	2.26	100009	34722	1	99.5	2.88	1585	118	1716.07	1812.63	1716.07	0.1459	0	93	100	99.2	90	13.4	0	0	0	962.4	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	738	2.21	60102	15752	1	98.82	3.82	1594	118	1579.17	1732.72	1579.17	0.055	0	99	96	100	90	46.35	54.8	18.27	0	974.48	0	0.029	8	1310	955	84	246.73	46709.68
preact	True	769	2.18	27622	10088	1	100	2.74	1023	104	1271.97	1576.15	1271.97	0.0001	0	100	100	100	90	13.89	0	0	0	961.76	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1323	2.25	91158	34628	13	100	2.63	1601	117	1385.96	2121.71	1385.96	0.6056	0	84	96	100	90	15.16	0	0	0	963.51	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1325	2.31	158538	50256	1	100	3.15	1023	105	1876.18	2179.67	1876.18	0.0001	35.8	97.2	100	100	90	13.56	0	0	0	961.2	0	-0.018	13	762	438	90	634.69	24213.69
solid	True	1106	2.18	26458	9243	1	100	2.86	1577	117	1322.25	1535.97	1322.25	0.0001	0	100	100	100	90	15.62	0	0	0	958.81	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3132	2.27	115502	38339	11	69.89	3.01	1024	104	1688.5	2024.81	1688.5	0	0	98.2	100	96	90	19.71	19.9	6.63	0	952.71	0	0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1396.46	1535.88	1396.46	0.146	0	94	100	96	90	50.88	49.8	16.6	0	989.74	0	0.052	3	560	426	74	71.69	20768.9
vanjs	True	659	2.17	17211	5999	1	96.97	2.87	1023	104	1241.06	1509.84	1241.06	0.0001	0	100	100	100	90	39.81	34.9	11.63	0	965.23	0	0.038	3	743	388	76	74.17	22895.14
vue	True	1355	2.23	76585	29349	1	100	2.61	1590	118	1637.18	1859.37	1637.18	0.0001	0	99	100	100	90	14.29	0	0	0	958.03	0	-0.005	11	677	217	57	686.46	10853.47
