framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1801.23	2066.82	1801.23	0.0002	19.8	98.2	100	100	90	54.48	79.7	26.57	0	997.57	0	0.024	3	444	299	68	83.56	13776.09
angular	True	14738	2.4	239051	74575	3	92.72	3.21	11298	231	2148.86	2535.29	2148.86	0.0001	30.8	95	100	100	90	14.18	5	1.67	0	964.23	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1223	2.26	100009	34722	1	99.5	2.88	1627	118	1707.31	1755.28	1707.31	0.1459	0	93	100	99.2	90	14.04	0	0	0	958.25	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	757	2.21	60102	15752	1	98.82	3.82	1604	119	1594.35	1707.31	1594.35	0.055	0	99	96	100	90	47.83	54.7	18.23	0	970.38	0	0.032	8	1310	955	84	246.73	46709.68
preact	True	782	2.18	27622	10088	1	100	2.74	1024	104	1257.88	1564.82	1257.88	0.0001	0	100	100	100	90	14.2	0	0	0	955.07	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1379	2.25	91158	34628	13	100	2.63	1610	117	1433.02	2199.72	1433.02	0.6038	0.61	83.6	96	100	90	14.8	0	0	0	959.96	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1382	2.31	158538	50256	1	100	3.15	1024	106	1864.75	2169.33	1864.75	0.0002	38.6	97.2	100	100	90	14.16	0	0	0	958.85	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1151	2.18	26458	9243	1	100	2.86	1634	117	1284.54	1469.01	1284.54	0.0001	0	100	100	100	90	16.07	10	3.33	0	956.66	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3193	2.27	115502	38339	11	69.89	3.01	1024	104	1710.3	2015.77	1710.3	0	0	98	100	96	90	15.12	0	0	0	944.53	0	0.015	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1390.59	1534.73	1390.59	0.146	0	94	100	96	90	52.53	49.8	16.6	0	980.41	0	0.054	3	560	426	74	71.69	20768.9
vanjs	True	671	2.17	17211	5999	1	96.97	2.87	1024	104	1253.1	1543.2	1253.1	0.0001	0	100	100	100	90	43.23	39.9	13.3	0	962	0	0.042	3	743	388	76	74.17	22895.14
vue	True	1414	2.23	76585	29349	1	100	2.61	1612	118	1552.28	1777.82	1552.28	0.0001	0	99	100	100	90	14.62	0	0	0	952.03	0	-0.005	11	677	217	57	686.46	10853.47
