framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1777.02	2036.19	1777.02	0.0002	25.6	98.2	100	100	90	18.79	119.5	39.83	0	1024.63	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	14114	2.39	221175	67399	2	92.13	3.28	10851	254	1954.96	2481.24	1954.96	0.0001	23.8	96	100	100	90	20.43	114.4	38.13	0	1024.12	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1194	2.26	100009	34722	1	99.5	2.88	1612	119	1823.33	2018.89	1823.33	0.1459	0	92	100	99.2	90	19.14	89.6	29.87	0	1002.71	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	755	2.21	60102	15752	1	98.82	3.82	1599	119	1548.4	1853.8	1548.4	0.055	1.8	99	96	100	90	19.75	129.4	43.13	0	1014.82	0	0	8	1310	955	84	246.73	46709.68
preact	True	765	2.18	27622	10088	1	100	2.74	1024	104	1343.24	1653.97	1343.24	0.0001	0	99.6	100	100	90	19.31	119.5	20.75	0	999.78	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1343	2.25	91158	34628	13	100	2.63	1618	117	1431.3	2122.7	1431.3	0.4021	0	89	96	100	90	19.4	89.7	29.9	0	1018.59	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1344	2.31	158538	50256	1	100	3.15	1023	105	1961.13	2266.69	1961.13	0.0001	0	97	100	100	90	18.85	94.6	31.53	0	1013.03	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1136	2.18	26458	9243	1	100	2.86	1600	116	1391.42	1545.74	1391.42	0.0001	1.2	99.6	100	100	90	19.79	114.5	38.17	0	1010.22	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3189	2.27	115502	38337	11	69.89	3.01	1024	104	1638.39	2033.73	1638.39	0	0	98.4	100	96	90	18.36	104.6	34.87	0	997.86	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1280.39	1545.52	1280.39	0.1461	0	94	100	96	90	18.71	124.4	41.47	0	998.94	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	685	2.17	17211	5999	1	96.97	2.87	1023	104	1213.65	1401.67	1213.65	0.0001	0	100	100	100	90	19.03	114.3	38.1	0	1003.67	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1387	2.23	76585	29349	1	100	2.61	1603	118	1660.53	1856.39	1660.53	0.0001	0	99	100	100	90	16.61	134.3	44.77	0	1016.25	0	-0.004	11	677	217	57	686.46	10853.47
