framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1370.65	1897.13	1370.65	0.0003	22.7	99.2	100	100	90	13.86	39.8	13.27	0	977.34	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	13741	2.4	239051	74575	3	92.72	3.21	10772	223	2104.75	2635.53	2104.75	0.0001	28.4	95	100	100	90	14.66	44.9	14.97	0	976.04	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1159	2.26	100009	34722	1	99.5	2.88	1583	117	1810.84	1981.66	1810.84	0.1459	0	92	100	99.2	90	14.75	44.8	14.93	0	968.57	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	726	2.21	60102	15752	1	98.82	3.82	1582	116	1508.01	1847.41	1508.01	0.055	0	99	96	100	90	14.48	59.8	19.93	0	963.33	0	-0.001	8	1310	955	84	246.73	46709.68
preact	True	728	2.18	27622	10088	1	100	2.74	1023	104	1356.91	1660.36	1356.91	0.0001	0	100	100	100	90	14.7	49.8	16.6	0	960.29	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1331	2.25	91158	34628	13	100	2.63	1593	118	1431.44	2122.63	1431.44	0.8202	0	78.8	96	100	90	16.59	10	3.33	0	970.02	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1280	2.31	158538	50256	1	100	3.15	1022	105	1937.1	2241.35	1937.1	0.0001	50.2	96.2	100	100	90	14.79	39.8	13.27	0	968.01	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1110	2.18	26458	9243	1	100	2.86	1584	117	1356.1	1539.75	1356.1	0.0001	0	99.8	100	100	90	14.5	34.9	11.63	0	960.41	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3070	2.27	115502	38337	11	69.89	3.01	1024	104	1675.32	2110.26	1675.32	0	1.4	98	100	96	90	14.18	5	1.67	0	949.89	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1214.61	1519.47	1214.61	0.146	0	94	100	96	90	16.53	0	0	0	963.09	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	653	2.17	17211	5999	1	96.97	2.87	1023	104	1210.13	1383.4	1210.13	0.0001	0	100	100	100	90	16.36	5	1.67	0	955.31	0	0.007	3	743	388	76	74.17	22895.14
vue	True	1338	2.23	76585	29349	1	100	2.61	1596	117	1625.83	1845.54	1625.83	0.0001	0	99	100	100	90	14.73	15	5	0	963.13	0	-0.004	11	677	217	57	686.46	10853.47
