framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1367.24	2014.37	1367.24	0.0003	26	99	100	100	90	14.7	119.4	39.8	0	986.82	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	13998	2.4	239051	74575	3	92.72	3.21	10918	230	2110.11	2649.57	2110.11	0.0001	34.8	94.8	100	100	90	13.9	79.3	14.05	0	1002.43	0	-0.005	13	868	474	85	604.86	29635.29
jquery	True	1201	2.26	100009	34722	1	99.5	2.88	1599	118	1809.5	1995.85	1809.5	0.1459	0	92	100	99.2	90	14.83	44.7	14.9	0	978.38	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	739	2.21	60102	15752	1	98.82	3.82	1607	118	1509.16	1851.53	1509.16	0.055	0.4	99	96	100	90	14.85	89.7	29.9	0	980.38	0	-0.002	8	1310	955	84	246.73	46709.68
preact	True	753	2.18	27622	10088	1	100	2.74	1025	104	1359.34	1664.01	1359.34	0.0001	0	100	100	100	90	14.53	89.6	15.77	0	983.64	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1341	2.25	91158	34628	13	100	2.63	1608	117	1418.1	2127.3	1418.1	0.8076	0	79	96	100	90	14.71	74.6	24.87	0	981.98	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1327	2.31	158538	50256	1	100	3.15	1023	105	1945.45	2250.08	1945.45	0.0001	138.2	93.6	100	100	90	16.01	94.7	31.57	0	988.93	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1124	2.18	26458	9243	1	100	2.86	1603	117	1362.97	1539.66	1362.97	0.0001	0	100	100	100	90	16.05	109.6	19.1	0	985.88	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3146	2.27	115502	38338	11	69.89	3.01	1024	104	1670.22	2117.34	1670.22	0	1.9	98	100	96	90	15.81	69.7	23.23	0	965.95	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.71	1524.95	1248.71	0.1461	0	94	100	96	90	15.36	94.7	31.57	0	985.79	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	668	2.17	17211	5999	1	96.97	2.87	1023	104	1210.14	1391.6	1210.14	0.0001	0	100	100	100	90	15.88	54.7	18.23	0	970.35	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1342	2.23	76585	29349	1	100	2.61	1613	118	1659.74	1856.61	1659.74	0.0001	0	99	100	100	90	13.98	104.4	34.8	0	976.74	0	-0.005	11	677	217	57	686.46	10853.47
