framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1464.66	2011.74	1464.66	0.0003	27.8	98.8	100	100	90	15.73	69.8	23.27	0	984.52	0	-0.002	3	444	299	68	83.56	13776.09
angular	True	14623	2.4	239051	74575	3	92.72	3.21	11878	233	2106.83	2521.84	2106.83	0.0001	31.6	95.8	100	100	90	17.79	69.8	23.27	0	992.69	0	-0.001	13	868	474	85	604.86	29635.29
jquery	True	1292	2.26	100009	34722	1	99.5	2.88	1622	118	1812.39	1927.63	1812.39	0.1459	0	92.4	100	99.2	90	17.46	74.8	24.93	0	991.14	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	789	2.21	60102	15752	1	98.82	3.82	1625	118	1520.42	1856.53	1520.42	0.055	0	99	96	100	90	17.27	69.8	23.27	0	972.33	0	-0.001	8	1310	955	84	246.73	46709.68
preact	True	800	2.18	27622	10088	1	100	2.74	1035	105	1358.3	1662.44	1358.3	0.0001	0	100	100	100	90	17	39.8	13.27	0	985.09	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1409	2.25	91158	34628	13	100	2.63	1642	118	1432.07	2124.69	1432.07	0.1974	0	94	96	100	90	17.58	44.8	14.93	0	991.06	0	-0.002	16	754	414	83	862.46	26425.59
react	True	1384	2.31	158538	50256	1	100	3.15	1024	105	1955.59	2260.28	1955.59	0.0001	64	95.6	100	100	90	15.37	74.6	24.87	0	980.26	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1156	2.18	26458	9243	1	100	2.86	1627	117	1358.69	1542.03	1358.69	0.0001	0	100	100	100	90	15.55	69.8	23.27	0	983.9	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	3293	2.27	115502	38338	11	69.89	3.01	1024	104	1668.29	2057.57	1668.29	0	0.5	98.4	100	96	90	15.71	64.8	21.6	0	969.14	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1223.98	1411.97	1223.98	0.146	0	94	100	96	90	15.75	84.6	28.2	0	977.8	0	-0.003	3	560	426	74	71.69	20768.9
vanjs	True	700	2.17	17211	5999	1	96.97	2.87	1025	105	1222.13	1396.09	1222.13	0.0001	0	100	100	100	90	32.22	79.7	26.57	0	961.94	0	0.016	3	743	388	76	74.17	22895.14
vue	True	1449	2.23	76585	29349	1	100	2.61	1626	118	1658.52	1852.18	1658.52	0.0001	0	99	100	100	90	17.05	69.8	23.27	0	987.09	0	-0.001	11	677	217	57	686.46	10853.47
