framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1460.25	1888.14	1460.25	0.0003	18.6	99	100	100	90	19.61	124.5	41.5	0	978.09	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	12736	2.4	239051	74575	3	92.72	3.21	9946	219	2105.86	2603.59	2105.86	0.0001	24.8	95.2	100	100	90	14.22	134.7	44.9	0	972.78	0	-0.005	13	868	474	85	604.86	29635.29
jquery	True	1101	2.26	100009	34722	1	99.5	2.88	1540	115	1806.27	1974	1806.27	0.1459	0	92	100	99.2	90	16.54	124.6	41.53	0	966.49	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	649	2.21	60102	15752	1	98.82	3.82	1542	114	1512.84	1842.56	1512.84	0.055	0	99	96	100	90	16.34	139.7	46.57	0	973.66	0	0.001	8	1310	955	84	246.73	46709.68
preact	True	666	2.18	27622	10088	1	100	2.74	1021	104	1355.64	1658.46	1355.64	0.0001	0	100	100	100	90	16	129.7	43.23	0	958.98	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1191	2.25	91158	34628	13	100	2.63	1544	114	1400.42	2120.46	1400.42	0.4086	0	88.8	96	100	90	14.17	124.7	41.57	0	971.48	0	-0.009	16	754	414	83	862.46	26425.59
react	True	1175	2.31	158538	50256	1	100	3.15	1021	105	1946.07	2249.91	1946.07	0.0001	62.8	95.8	100	100	90	16.12	114.7	38.23	0	964.64	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	975	2.18	26458	9243	1	100	2.86	1548	114	1355.09	1535.03	1355.09	0.0001	0	100	100	100	90	18.01	129.6	43.2	0	961.29	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2798	2.27	115504	38339	11	69.89	3.01	1032	104	1662.46	2112.83	1662.46	0	0	98	100	96	90	14.78	124.7	41.57	0	948.53	0	0.015	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1215.11	1520.14	1215.11	0.146	0	94	100	96	90	16.09	129.6	43.2	0	965.18	0	-0.017	3	560	426	74	71.69	20768.9
vanjs	True	583	2.17	17211	5999	1	96.97	2.87	1022	104	1221.3	1385.05	1221.3	0.0001	0	100	100	100	90	19.4	149.7	49.9	0	955.82	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1197	2.23	76585	29349	1	100	2.61	1548	115	1657.29	1847.94	1657.29	0.0001	0	99	100	100	90	15.79	134.6	44.87	0	958.78	0	-0.003	11	677	217	57	686.46	10853.47
