framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1470.98	2017.56	1470.98	0.0002	31.6	98.8	100	100	90	21.16	109.6	36.53	0	1011.8	0	-0.008	3	444	299	68	83.56	13776.09
angular	True	14341	2.39	221175	67399	2	92.13	3.28	10938	259	1956.44	2488.87	1956.44	0.0001	29.2	96	100	100	90	20.11	109.6	36.53	0	1013.02	0	-0.001	13	888	489	89	604.48	30872.93
jquery	True	1231	2.26	100009	34722	1	99.5	2.88	1601	119	1837.75	2020.82	1837.75	0.1459	0.5	92	100	99.2	90	20.02	108.8	36.27	0	1017.21	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	757	2.21	60102	15752	1	98.82	3.82	1587	118	1551.58	1857.86	1551.58	0.055	4	99	96	100	90	20	139.1	46.37	0	1009.81	0	0	8	1310	955	84	246.73	46709.68
preact	True	775	2.18	27622	10088	1	100	2.74	1024	104	1365.62	1677.32	1365.62	0.0001	0	99	100	100	90	19.87	84.6	28.2	0	1014.53	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1365	2.25	91158	34628	13	100	2.63	1608	116	1418.07	2126.82	1418.07	1.0074	0	74	96	100	90	19.17	119.6	39.87	0	1014.88	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1333	2.31	158538	50256	1	100	3.15	1024	105	1962.48	2268.73	1962.48	0.0002	0	97	100	100	90	18.62	94.6	31.53	0	1029.14	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1135	2.18	26458	9243	1	100	2.86	1596	117	1392.11	1546.47	1392.11	0.0001	0	99.4	100	100	90	19.22	119.4	39.8	0	1007.07	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3144	2.27	115504	38342	11	69.89	3.01	1024	104	1668.57	2064.16	1668.57	0	0	98.2	100	96	90	18.26	103.9	34.63	0	1000.69	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1255.27	1549.42	1255.27	0.1461	0	94	100	96	90	18.18	129.5	43.17	0	1004.35	0	-0.018	3	560	426	74	71.69	20768.9
vanjs	True	677	2.17	17211	5999	1	96.97	2.87	1023	105	1215.43	1403.14	1215.43	0.0001	0	100	100	100	90	19.53	129.5	43.17	0	1002.43	0	0.006	3	743	388	76	74.17	22895.14
vue	True	1399	2.23	76585	29349	1	100	2.61	1605	118	1630.54	1859.82	1630.54	0.0001	0.8	99	100	100	90	19.81	94.6	31.53	0	1009.64	0	-0.002	11	677	217	57	686.46	10853.47
