framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1786.86	2048.05	1786.86	0.0003	19.6	98.2	100	100	90	55.22	74.6	24.87	0	999.91	0	0.039	3	444	299	68	83.56	13776.09
angular	True	14048	2.4	239051	74575	3	92.72	3.21	10779	224	2105.06	2514.99	2105.06	0.0001	27.4	95.8	100	100	90	16.9	0	0	0	967.64	0	-0.002	13	868	474	85	604.86	29635.29
jquery	True	1204	2.26	100009	34722	1	99.5	2.88	1608	117	1725.12	1771.03	1725.12	0.1459	0	93	100	99.2	90	14.62	0	0	0	962.61	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	734	2.21	60102	15752	1	98.82	3.82	1592	117	1571.52	1764.53	1571.52	0.055	0	99	96	100	90	46.36	54.8	18.27	0	975.01	0	0.045	8	1310	955	84	246.73	46709.68
preact	True	745	2.18	27622	10088	1	100	2.74	1023	104	1335.67	1639.3	1335.67	0.0001	0	100	100	100	90	15.42	0	0	0	958.16	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1309	2.25	91158	34628	13	100	2.63	1630	117	1401.43	2123.61	1401.43	0.6038	0	84	96	100	90	16.24	0	0	0	970.27	0	-0.004	16	754	414	83	862.46	26425.59
react	True	1380	2.31	158538	50256	1	100	3.15	1022	105	1900.85	2205.08	1914.86	0.0002	473.7	91.8	100	100	90	14.49	0	0	0	961.69	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1101	2.18	26458	9243	1	100	2.86	1598	117	1321.05	1534.98	1321.05	0.0001	0	100	100	100	90	16.17	0	0	0	956.3	0	-0.001	12	786	458	98	581.44	26202.05
svelte	True	3102	2.27	115502	38333	11	69.89	3.01	1024	104	1697.14	2040.62	1697.14	0	3.2	98	100	96	90	14.53	0	0	0	948.25	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1396.04	1526.06	1396.04	0.146	0	94	100	96	90	51.7	64.8	21.6	0	988.77	0	0.053	3	560	426	74	71.69	20768.9
vanjs	True	658	2.17	17211	5999	1	96.97	2.87	1023	104	1244.6	1510.6	1244.6	0.0001	0	100	100	100	90	40.92	29.9	9.97	0	964.61	0	0.04	3	743	388	76	74.17	22895.14
vue	True	1357	2.23	76585	29349	1	100	2.61	1613	118	1633.59	1855.58	1633.59	0.0001	0	99	100	100	90	15.14	0	0	0	961.64	0	-0.005	11	677	217	57	686.46	10853.47
