framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1364.36	2021.98	1364.36	0.0003	31	99	100	100	90	14.21	29.9	9.97	0	999.98	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	14392	2.4	239051	74575	3	92.72	3.21	11321	228	2106.5	2613.95	2106.5	0.0001	34.3	95.2	100	100	90	15	79.7	14.12	0	980.06	0	-0.003	13	868	474	85	604.86	29635.29
jquery	True	1223	2.26	100009	34722	1	99.5	2.88	1619	119	1812.15	1992.62	1812.15	0.1459	0	92	100	99.2	90	18.6	84.6	28.2	0	975.51	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	757	2.21	60102	15752	1	98.82	3.82	1595	118	1507.68	1849.92	1507.68	0.055	4	99	96	100	90	16.09	59.7	19.9	0	972.35	0	0	8	1310	955	84	246.73	46709.68
preact	True	783	2.18	27622	10088	1	100	2.74	1023	104	1359.32	1663.98	1359.32	0.0001	0	99.8	100	100	90	18.47	89.5	15.75	0	975.45	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1355	2.25	91158	34628	13	100	2.63	1630	118	1432.46	2126.21	1432.46	0.6038	0	84	96	100	90	18.51	74.7	24.9	0	993.87	0	-0.005	16	754	414	83	862.46	26425.59
react	True	1387	2.31	158538	50256	1	100	3.15	1023	105	1942.81	2247.01	1942.81	0.0001	50.4	96.2	100	100	90	14.9	39.9	13.3	0	971.27	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1123	2.18	26458	9243	1	100	2.86	1614	118	1364.44	1542.96	1364.44	0.0001	0	100	100	100	90	16.66	84.6	28.2	0	982.48	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3137	2.27	115502	38341	11	69.89	3.01	1033	104	1668.35	2090.4	1668.35	0	0	98.2	100	96	90	15.14	39.8	13.27	0	948.11	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1218.88	1531.38	1218.88	0.1461	0	94	100	96	90	15.63	49.8	16.6	0	972.03	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	680	2.17	17211	5999	1	96.97	2.87	1023	104	1236.64	1425.6	1236.64	0.0001	0	100	100	100	90	14.81	54.7	18.23	0	961.41	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1364	2.23	76585	29349	1	100	2.61	1623	117	1659.28	1857.52	1659.28	0.0001	0.8	99	100	100	90	15.5	64.7	21.57	0	984.56	0	-0.003	11	677	217	57	686.46	10853.47
