framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1371.24	1371.24	1371.24	0.0003	19.4	100	100	100	90	56.61	39.8	13.27	0	1000.09	0	0.041	3	444	299	68	83.56	13776.09
angular	True	14867	2.4	239051	74575	3	92.72	3.21	11624	239	2152.72	2539.28	2152.72	0.0001	33.2	95	100	100	90	14.42	5	1.67	0	963.68	0	-0.004	13	868	474	85	604.86	29635.29
jquery	True	1258	2.26	100009	34722	1	99.5	2.88	1640	119	1712.15	1763.23	1712.15	0.1459	0	93	100	99.2	90	15.89	0	0	0	963.75	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	800	2.21	60102	15752	1	98.82	3.82	1633	118	1595.45	1711.5	1595.45	0.055	0	99	96	100	90	48.36	74.7	24.9	0	972.5	0	0.048	8	1310	955	84	246.73	46709.68
preact	True	804	2.18	27622	10088	1	100	2.74	1024	105	1256.27	1564.31	1256.27	0.0001	0	100	100	100	90	15.65	0	0	0	952.3	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1419	2.25	91158	34628	13	100	2.63	1632	118	1451.19	2278.51	1451.19	1.0074	0	73.2	96	100	90	14.92	0	0	0	960.87	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1402	2.31	158538	50256	1	100	3.15	1024	105	1868.44	2172.16	1868.44	0.0001	107.2	95.2	100	100	90	15.97	0	0	0	958.82	0	-0.001	13	762	438	90	634.69	24213.69
solid	True	1192	2.18	26458	9243	1	100	2.86	1606	118	1281.04	1554.15	1281.04	0.0001	0	100	100	100	90	13.85	10	3.33	0	952.99	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3277	2.27	115502	38339	11	69.89	3.01	1025	104	1704.66	2040.92	1704.66	0	1.54	98	100	96	90	14.41	0	0	0	942.22	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1398.36	1527.41	1398.36	0.1461	0	94	100	96	90	49.61	54.8	9.97	0	988.63	0	0.05	3	560	426	74	71.69	20768.9
vanjs	True	719	2.17	17211	5999	1	96.97	2.87	1024	104	1256.56	1547.51	1256.56	0.0001	0	100	100	100	90	42.42	44.8	14.93	0	960.84	0	0.041	3	743	388	76	74.17	22895.14
vue	True	1436	2.23	76585	29349	1	100	2.61	1641	118	1550.47	1836.01	1550.47	0.0001	0	99	100	100	90	14.57	0	0	0	953.81	0	-0.004	11	677	217	57	686.46	10853.47
