framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1664.53	2020.36	1664.53	0.0002	26	98.4	100	100	90	14.18	44.8	14.93	0	1022.24	0	-0.019	3	444	299	68	83.56	13776.09
angular	True	7260	2.4	235945	71051	1	92.17	3.32	5895	104	1803.87	2494.81	1803.87	0.0001	39	95.8	100	100	90	16.99	99.6	33.2	0	978.43	0	-0.009	13	888	489	89	604.48	30872.93
jquery	True	1149	2.26	100009	34722	1	99.5	2.88	1558	118	1835.57	2027.96	1835.57	0.1459	0.7	92	100	99.2	90	16.9	79.6	26.53	0	990.97	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	733	2.21	59808	15719	1	98.81	3.8	1587	118	1548.35	1853.52	1548.35	0.055	1.8	99	96	100	90	19.18	69.6	23.2	0	1007.02	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	28.26	149	49.72	0	996.96	44.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	760	2.18	27622	10088	1	100	2.74	1024	104	1361.16	1636.74	1361.16	0.0001	0	99.6	100	100	90	18.52	94.4	16.57	0	1000.12	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1239	2.25	91158	34628	13	100	2.63	1577	119	1432.3	2125.23	1432.3	1.0069	0	74	96	100	90	17.27	94.6	31.53	0	1006.8	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1292	2.31	158538	50256	1	100	3.15	1023	105	1949.99	2267.42	1949.99	0.0002	225.8	92.4	100	100	90	12.76	69.6	23.2	0	980.95	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1101	2.18	26458	9243	1	100	2.86	1581	118	1390.94	1545.71	1390.94	0.0001	0	99.4	100	100	90	17.81	20	6.67	0	1005.95	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2943	2.27	117670	38613	11	68.6	3.05	1026	104	1668.73	2116.78	1668.73	0	2.3	98	100	96	90	18.59	89.4	29.8	0	972.5	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246	1542.8	1246	0.146	0	94	100	96	90	18.58	109.5	36.5	0	990.77	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	659	2.17	17211	5999	1	96.97	2.87	1026	104	1211.39	1394.88	1211.39	0.0001	0	100	100	100	90	19.23	94.6	31.53	0	986.43	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1333	2.23	76585	29349	1	100	2.61	1568	117	1658.08	1853.72	1658.08	0.0001	0	99	100	100	90	17.51	109.5	36.5	0	1002	0	-0.007	11	677	217	57	686.46	10853.47
