framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1666.08	1887.38	1666.08	0.0002	18.2	98.6	100	100	90	18.46	59.7	19.9	0	1351.77	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6137	2.32	158642	51430	1	100	3.08	5292	104	1958.77	2314.75	1958.77	0.0001	2	97	100	100	90	18.97	74.7	24.9	0	1390.35	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1307	2.17	11475	3814	1	100	3.01	2287	109	1209.84	1509.84	1209.84	0.0001	0	100	100	100	90	19.43	84.7	14.95	0	1333.38	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	894	2.19	32881	9964	1	98.43	3.3	1022	105	1511.86	1697.09	1511.86	0.0001	3.8	99	100	100	90	20.64	79.7	26.57	0	1343.88	0	-0.006	13	713	452	91	678.96	24340.98
jquery	True	1087	2.26	100009	34722	1	99.5	2.88	1032	107	1833.17	2012.26	1833.17	0.1459	0.2	92	100	99.2	90	20.68	74.7	13.28	0	1370.03	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	686	2.21	59808	15719	1	98.81	3.8	1022	105	1548.56	1855.15	1548.56	0.055	2.2	99	96	100	90	19.17	89.7	29.9	0	1398.6	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1213.25	1717.77	1213.25	0.0001	0	100	100	100	100	17.45	69.7	12.45	0	1359.74	0	-0.007	4	321	234	67	154.88	17543.75
octane	True	1970	2.3	148231	46596	1	100	3.18	1020	105	1998.8	2265.6	1998.8	0.0002	0	97	100	100	90	15.08	44.8	14.93	0	1320.5	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	701	2.18	27622	10088	1	100	2.74	1022	105	1364.18	1645.07	1364.18	0.0001	0	99.6	100	100	90	19.03	79.6	14.1	0	1376.09	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1164	2.25	91158	34628	13	100	2.63	1030	107	1417.4	2124.67	1417.4	0.6164	0	83.8	96	100	90	19.98	99.2	33.07	0	1335.34	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1202	2.31	158538	50256	1	100	3.15	1022	105	1945.2	2250.5	1945.2	0.0002	52.5	96	100	100	90	18.82	69.8	23.27	0	1350.27	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1052	2.18	26458	9243	1	100	2.86	1022	105	1392.33	1547.7	1392.33	0.0001	0	99.2	100	100	90	18.48	64.7	11.62	0	1334.01	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2761	2.27	117670	38614	11	68.6	3.05	1665	120	1669.99	2088.3	1669.99	0	0	98.2	100	96	90	18.22	119.6	39.87	0	1332.04	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.21	1546.88	1251.21	0.1461	0	94	100	96	90	15.42	49.8	16.6	0	1347.48	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	601	2.17	17211	5999	1	96.97	2.87	1022	105	1207.21	1388.61	1207.21	0.0001	0	100	100	100	90	20.41	114.6	19.93	0	1377.18	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1239	2.23	76585	29349	1	100	2.61	1022	105	1628.35	1854.33	1628.35	0.0001	0	99	100	100	90	16.99	64.7	21.57	0	1314.03	0	-0.006	11	677	217	57	686.46	10853.47
