framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1762.23	2025.75	1762.23	0.0002	21	98.2	100	100	90	14.98	124.5	41.5	0	1323.45	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	6270	2.32	158642	51430	1	100	3.08	5284	104	1955.42	2312.54	1955.42	0.0001	4.6	97	100	100	90	13.74	119.5	20.75	0	1372.82	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1338	2.17	11475	3814	1	100	3.01	2284	110	1179.98	1509.98	1179.98	0.0002	0	100	100	100	90	19.31	119.4	39.8	0	1352.88	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	923	2.19	32881	9964	1	98.43	3.3	1021	105	1545.53	1702.9	1545.53	0.0001	4.8	99	100	100	90	16.05	119.5	39.83	0	1318.69	0	-0.012	13	713	452	91	678.96	24340.98
jquery	True	1126	2.26	100009	34722	1	99.5	2.88	1033	107	1854.17	2030.26	1854.17	0.1459	0	92	100	99.2	90	16.48	114.6	19.93	0	1370.56	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	716	2.21	59808	15719	1	98.81	3.8	1022	105	1550.85	1857.88	1550.85	0.055	2.2	99	96	100	90	14.36	114.5	38.17	0	1323.39	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	30.52	194.1	57.23	0	1312.04	44.8	0	4	321	234	67	154.88	17543.75
preact	True	709	2.18	27622	10088	1	100	2.74	1022	105	1363.13	1671.99	1363.13	0.0001	0	99.4	100	100	90	15.34	129.4	22.4	0	1351.28	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1217	2.25	91158	34628	13	100	2.63	1030	107	1433.15	2127.21	1433.15	0.8056	0	79	96	100	90	20.23	114.5	38.17	0	1333.86	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1244	2.31	158538	50256	1	100	3.15	1023	106	1940.09	2244.83	1940.09	0.0002	61.7	95.8	100	100	90	17.41	129.4	43.13	0	1314.75	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1080	2.18	26458	9243	1	100	2.86	1022	105	1392.8	1548.81	1392.8	0.0001	1.4	99.2	100	100	90	15.61	119.5	20.75	0	1358.15	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2811	2.27	117670	38610	11	68.6	3.05	1686	121	1671.08	2121.39	1671.08	0	0	98	100	96	90	17.08	119.6	39.87	0	1302.58	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1254.13	1533.11	1254.13	0.1461	0	94	100	96	90	15.63	124.5	41.5	0	1313.45	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	634	2.17	17211	5999	1	96.97	2.87	1023	105	1211.85	1396.77	1211.85	0.0001	0	100	100	100	90	15.29	124.5	21.58	0	1344.82	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1277	2.23	76585	29349	1	100	2.61	1022	105	1658.01	1854.01	1658.01	0.0001	0	99	100	100	90	15.8	124.5	41.5	0	1319.28	0	-0.002	11	677	217	57	686.46	10853.47
