framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1656.43	1877.31	1656.43	0.0002	1.7	98.6	100	100	90	19.64	94.7	31.57	0	1049.24	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	4827	2.36	193581	61947	3	90.45	3.12	3854	104	1753.03	2272.68	1753.03	0.0001	0.8	97.2	100	100	90	17.85	89.7	15.78	0	1027.15	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	760	2.26	100009	34722	1	99.5	2.88	1444	112	1820.38	2009.77	1820.38	0.1459	0	92	100	99.2	90	15.63	40	13.33	0	1041.64	0	-0.016	3	481	287	45	87.4	18604.14
lit	True	476	2.21	59808	15719	1	98.81	3.8	1457	113	1542.62	1848.03	1542.62	0.055	0	99	96	100	90	15.93	40	13.33	0	1036.01	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	35.29	89.8	34.06	0	1018.89	24.9	-0.001	4	321	234	67	154.88	17543.75
preact	True	516	2.18	27622	10088	1	100	2.74	1019	104	1355.1	1657.64	1355.1	0.0001	0	100	100	100	90	21.43	74.9	24.97	0	1025.3	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	871	2.25	91158	34628	13	100	2.63	1407	112	1416.11	2121.45	1416.11	0.804	0	79	96	100	90	14.81	25	8.33	0	1046.71	0	-0.008	16	754	415	83	861.8	26425.59
react	True	924	2.31	158538	50256	1	100	3.15	1018	105	1957.2	2260.81	1957.2	0.0001	0	97	100	100	90	15.61	34.9	11.63	0	1031.63	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	761	2.18	26458	9243	1	100	2.86	1430	112	1382.81	1535.92	1382.81	0.0001	0	100	100	100	90	19.03	64.9	11.65	0	1025.03	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2185	2.27	117670	38611	11	68.6	3.05	1019	104	1662.56	2081.31	1662.56	0	0	98.2	100	96	90	14.17	40	13.33	0	1019.85	0	0.009	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1234.51	1528.28	1234.51	0.146	0	94	100	96	90	15.18	25	5	0	1034.06	0	-0.018	3	560	426	74	71.69	20768.9
vanjs	True	414	2.17	17211	5999	1	96.97	2.87	1018	104	1210.52	1387.78	1210.52	0.0001	0	100	100	100	90	16.23	30	10	0	1013.64	0	0.005	3	743	388	76	74.17	22895.14
vue	True	925	2.23	76585	29349	1	100	2.61	1394	113	1658.47	1846.1	1658.47	0.0001	0	99	100	100	90	15.56	44.9	14.97	0	1033.87	0	-0.006	11	677	217	57	686.46	10853.47
