framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1670.66	2028.23	1670.66	0.0002	18.6	98.4	100	100	90	13.73	114.5	38.17	0	980.8	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	14295	2.39	222256	67534	2	91.68	3.29	10501	250	1955.42	2479.13	1955.42	0.0001	21	96	100	100	90	13.72	99.6	33.2	0	976.29	0	-0.009	13	888	489	89	604.48	30872.93
jquery	True	1175	2.26	100009	34722	1	99.5	2.88	1588	118	1821.05	2016.48	1821.05	0.1459	0	92	100	99.2	90	12.92	109.6	36.53	0	981.95	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	743	2.21	60102	15752	1	98.82	3.82	1589	117	1557.62	1824.4	1557.62	0.055	1	99	96	100	90	12.98	104.6	34.87	0	977.71	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1213.23	1700.9	1213.23	0.0001	0	100	100	100	100	14.78	74.7	24.9	0	965.33	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	732	2.18	27622	10088	1	100	2.74	1023	104	1362.06	1669.8	1362.06	0.0001	0	99.6	100	100	90	12.4	89.6	29.87	0	972.54	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1301	2.25	91158	34628	13	100	2.63	1581	117	1418.63	2128.54	1418.63	0.6038	0	83.8	96	100	90	14.64	104.6	34.87	0	986.86	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1356	2.31	158538	50256	1	100	3.15	1023	105	1950.36	2254.95	1950.36	0.0001	68.1	95.4	100	100	90	13.32	89.6	29.87	0	984.86	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1108	2.18	26458	9243	1	100	2.86	1568	117	1358.7	1542.95	1358.7	0.0001	0	99.8	100	100	90	14.85	109.6	36.53	0	973.62	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3065	2.27	117668	38611	11	68.6	3.05	1023	104	1668.12	2086.5	1668.12	0	0.2	98.2	100	96	90	12.92	109.7	36.57	0	957.12	0	0.012	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.43	1534.58	1246.43	0.146	0	94	100	96	90	12.84	119.5	39.83	0	972.88	0	-0.02	3	560	426	74	71.69	20768.9
vanjs	True	669	2.17	17211	5999	1	96.97	2.87	1022	104	1210.87	1392.9	1210.87	0.0001	0	100	100	100	90	13.21	109.7	36.57	0	974.35	0	0	3	743	388	76	74.17	22895.14
vue	True	1332	2.23	76585	29349	1	100	2.61	1569	117	1659.21	1855.41	1659.21	0.0001	0	99	100	100	90	15.08	99.4	33.13	0	974.8	0	-0.003	11	677	217	57	686.46	10853.47
