framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1780.55	2035.38	1780.55	0.0002	33.4	98.2	100	100	90	14.05	79.3	26.43	0	983.2	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	15114	2.39	222256	67534	2	91.68	3.29	12080	295	1954.83	2485.85	1954.83	0.0001	28.6	96	100	100	90	14.16	79.6	26.53	0	994.25	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1335	2.26	100009	34722	1	99.5	2.88	1683	120	1829.39	2020.99	1829.39	0.1459	0	92	100	99.2	90	12.62	119.5	39.83	0	976.5	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	800	2.21	60102	15752	1	98.82	3.82	1661	122	1550.38	1856.28	1550.38	0.055	6.2	99	96	100	90	14.52	104.6	34.87	0	976.1	0	0	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1212.13	1716.33	1212.13	0.0002	0	99.8	100	100	100	14.16	94.7	31.57	0	973.04	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	810	2.18	27622	10088	1	100	2.74	1026	106	1363.94	1673.21	1363.94	0.0001	0	99.4	100	100	90	13.88	109.4	36.47	0	976.6	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1434	2.25	91158	34628	13	100	2.63	1679	121	1417.51	2125.93	1417.51	0.8073	0	79	96	100	90	13.77	64.7	21.57	0	979.73	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1417	2.31	158538	50256	1	100	3.15	1032	107	1945.89	2251.54	1945.89	0.0002	66.6	95.6	100	100	90	13.02	89.6	29.87	0	970.76	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1201	2.18	26458	9243	1	100	2.86	1668	119	1390.74	1545.01	1390.74	0.0001	0	99.8	100	100	90	12.68	119.5	39.83	0	964.44	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3392	2.27	117668	38613	11	68.6	3.05	1027	106	1670.74	2057.78	1670.74	0	0	98.4	100	96	90	14.32	74.6	24.87	0	960.66	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1346.89	1545.85	1346.89	0.1461	0	94	100	96	90	16.84	89.6	29.87	0	971.06	0	-0.021	3	560	426	74	71.69	20768.9
vanjs	True	734	2.17	17211	5999	1	96.97	2.87	1032	106	1218.01	1426.8	1218.01	0.0001	0	100	100	100	90	13.5	49.7	16.57	0	974.29	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1518	2.23	76585	29349	1	100	2.61	1722	120	1658.35	1856.13	1658.35	0.0001	0.2	99	100	100	90	14.19	89.6	29.87	0	981.23	0	-0.005	11	677	217	57	686.46	10853.47
