framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1554.78	1874.78	1554.78	0.0002	0	98.8	100	100	90	28.56	20	6.67	0	1458.3	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	4168	2.32	158642	51430	1	100	3.08	3439	103	1956.83	2300.05	1956.83	0.0001	0	97	100	100	90	15.27	15	5	0	1474.87	5	-0.004	13	764	424	88	631.62	27036.12
astro	True	855	2.17	11475	3814	1	100	3.01	1484	108	1269.25	1570.65	1269.25	0.0001	94.4	97.4	100	100	90	25.88	15	3.33	0	1426.16	64.9	0	4	546	372	73	159.38	18153.98
geajs	True	602	2.19	32881	9964	1	98.43	3.3	1014	104	1531.57	1685.25	1531.57	0.0001	0	99	100	100	90	26.77	20	6.67	0	1484.27	0	-0.01	13	713	452	91	678.96	24340.98
jquery	True	749	2.26	100009	34722	1	99.5	2.88	1024	105	1823.93	2003.19	1823.93	0.1459	0	92	100	99.2	90	14.66	34.9	11.63	0	1408.01	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	503	2.21	59808	15719	1	98.81	3.8	1016	104	1535.33	1838.2	1535.33	0.055	0	99	96	100	90	25.89	15	6.67	0	1472.17	0	0.006	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	21.29	49.9	26.18	0	1389.72	24.9	0	4	321	234	67	154.88	17543.75
preact	True	471	2.18	27622	10088	1	100	2.74	1015	104	1357.64	1663.15	1357.64	0.0001	0	100	100	100	90	16.66	30	10	0	1456.18	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	769	2.25	91158	34628	13	100	2.63	1021	104	1414.32	2115.28	1414.32	0.4037	0	89	96	100	90	14.5	20	6.67	0	1455.17	0	-0.004	16	754	415	83	861.8	26425.59
react	True	811	2.31	158538	50256	1	100	3.15	1015	104	1958.58	2232.87	1958.58	0.0001	0	97	100	100	90	14.56	20	5	0	1409.42	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	731	2.18	26458	9243	1	100	2.86	1015	104	1353.33	1537.09	1353.33	0.0001	0	100	100	100	90	16.75	40	13.33	0	1431.78	0	-0.011	12	786	458	98	581.44	26202.05
svelte	True	1829	2.27	117670	38610	11	68.6	3.05	1314	113	1663.82	2081.85	1663.82	0	0	98.2	100	96	90	15.75	44.7	14.9	0	1434.19	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1264.82	1536.69	1264.82	0.146	0	94	100	96	90	15.85	10	3.33	0	1458.83	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	407	2.17	17211	5999	1	96.97	2.87	1018	105	1211.35	1390.82	1211.35	0.0001	0	100	100	100	90	16.24	10	3.33	0	1420.66	0	0.003	3	743	388	76	74.17	22895.14
vue	True	823	2.23	76585	29349	1	100	2.61	1016	104	1656.37	1842.16	1656.37	0.0001	0	99	100	100	90	15.61	49.9	16.63	0	1392.08	0	-0.004	11	677	217	57	686.46	10853.47
