framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1762.42	2022.24	1762.42	0.0002	25	98.2	100	100	90	17.76	139.3	46.43	0	1090.78	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	6543	2.32	158642	51430	1	100	3.08	5488	104	1959.18	2316.78	1959.18	0.0001	5.2	97	100	100	90	25.48	133.7	44.57	0	1073.57	0	-0.007	13	764	424	88	631.62	27036.12
astro	True	1465	2.17	11475	3814	1	100	3.01	2307	111	1207.21	1507.21	1207.21	0.0001	0	100	100	100	90	17.5	134.4	44.8	0	1078.6	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	1010	2.19	32881	9964	1	98.43	3.3	1020	106	1513.44	1700.06	1513.44	0.0001	4.8	99	100	100	90	16	129.5	43.17	0	1068.41	0	-0.006	13	713	452	91	678.96	24340.98
jquery	True	1181	2.26	100009	34722	1	99.5	2.88	1035	107	1836.9	2023.06	1836.9	0.1459	0	92	100	99.2	90	16.54	134.4	44.8	0	1073.71	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	774	2.21	59808	15719	1	98.81	3.8	1022	105	1548.77	1854.96	1548.77	0.055	2	99	96	100	90	15.68	139.5	46.5	0	1064.39	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	24.28	164	50.15	0	1063.46	44.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	752	2.18	27622	10088	1	100	2.74	1023	105	1361.4	1668.9	1361.4	0.0001	0	99.6	100	100	90	17.44	89.6	29.87	0	1079.7	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1283	2.25	91158	34628	13	100	2.63	1032	107	1432.51	2126.12	1483.02	1.005	0	74	96	100	90	17.58	134.4	44.8	0	1077.25	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1307	2.31	158538	50256	1	100	3.15	1024	105	1940.75	2246.02	1940.75	0.0001	32.8	96.6	100	100	90	13.51	129.5	22.42	0	1066.5	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1142	2.18	26458	9243	1	100	2.86	1025	105	1387.8	1541.9	1387.8	0.0001	0	99.8	100	100	90	17.72	139.2	24.03	0	1063.84	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2942	2.27	117670	38613	11	68.6	3.05	1746	121	1671.11	2089.03	1671.11	0	0	98.2	100	96	90	17.87	129.4	43.13	0	1055.69	0	0.012	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.48	1546.97	1241.48	0.146	0	94	100	96	90	17.61	119.4	39.8	0	1085.21	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	654	2.17	17211	5999	1	96.97	2.87	1024	105	1220.95	1427.28	1220.95	0.0001	0	100	100	100	90	13.43	134.4	44.8	0	1057.84	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1367	2.23	76585	29349	1	100	2.61	1023	105	1629.01	1854.71	1629.01	0.0001	0	99	100	100	90	14.82	124.3	41.43	0	1077.54	0	-0.007	11	677	217	57	686.46	10853.47
