framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1862.81	2017.63	1862.81	0.0002	9.4	98	100	100	90	20.5	124.6	41.53	0	1331.25	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	5372	2.32	158642	51430	1	100	3.08	4468	104	1966.48	2307.62	1966.48	0.0001	0	97	100	100	90	20.71	84.7	28.23	0	1375.19	0	-0.001	13	764	424	88	631.62	27036.12
astro	True	1145	2.17	11475	3814	1	100	3.01	2085	109	1209.39	1509.39	1209.39	0.0001	0	100	100	100	90	21.46	99.6	33.2	0	1314.36	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	758	2.19	32881	9964	1	98.43	3.3	1017	105	1539.06	1694.08	1539.06	0.0001	0	99	100	100	90	18.3	39.8	7.47	0	1338.38	0	-0.013	13	713	452	91	678.96	24340.98
jquery	True	913	2.26	100009	34722	1	99.5	2.88	1028	106	1827.87	2020.1	1827.87	0.1459	0	92	100	99.2	90	22.14	44.8	14.93	0	1307.39	0	-0.006	3	481	287	45	87.4	18604.14
lit	True	572	2.21	59808	15719	1	98.81	3.8	1018	104	1565.58	1879.87	1565.58	0.055	0	98.8	96	100	90	22.14	39.8	7.47	0	1376.15	0	0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1282.18	1693.47	1282.18	0.0002	0	99.8	100	100	100	20.12	99.6	33.2	0	1329.97	0	-0.001	4	321	234	67	154.88	17543.75
octane	True	1667	2.3	148231	46596	1	100	3.18	1018	105	2018.82	2304.32	2018.82	0.0002	0	96.6	100	100	90	22.59	124.5	41.5	0	1337.18	0	-0.004	12	741	421	89	579.82	24098.68
preact	True	576	2.18	27622	10088	1	100	2.74	1019	105	1358.29	1662.44	1358.29	0.0001	0	100	100	100	90	19.92	59.8	19.93	0	1349.32	0	-0.001	12	776	461	101	585.8	25344.18
qwik	True	954	2.25	91158	34628	13	100	2.63	1026	106	1417.97	2126.6	1417.97	0.8013	0	79	96	100	90	20.55	39.9	7.48	0	1324.59	0	-0.003	16	754	415	83	861.8	26425.59
react	True	1020	2.31	158538	50256	1	100	3.15	1018	105	1941.19	2245.39	1941.19	0.0001	59	95.8	100	100	90	22.03	119.4	39.8	0	1317.89	0	-0.001	13	762	438	90	634.69	24213.69
solid	True	841	2.18	26458	9243	1	100	2.86	1018	104	1356.09	1539.83	1356.09	0.0001	0	100	100	100	90	21.58	79.7	14.12	0	1355.73	0	-0.001	12	786	458	98	581.44	26202.05
svelte	True	2355	2.27	117670	38615	11	68.6	3.05	1387	116	1665.98	2055.4	1665.98	0	0	98.4	100	96	90	20.3	44.9	14.97	0	1319.39	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1240.7	1533.79	1240.7	0.1461	0	94	100	96	90	20.64	79.7	26.57	0	1332.75	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	528	2.17	17211	5999	1	96.97	2.87	1020	105	1209.13	1389.89	1209.13	0.0001	0	100	100	100	90	22.58	139.5	46.5	0	1361.34	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1059	2.23	76585	29349	1	100	2.61	1020	104	1659.87	1848.81	1659.87	0.0001	0	99	100	100	90	20.3	94.6	31.53	0	1323.68	0	-0.002	11	677	217	57	686.46	10853.47
