framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1567.77	1892.57	1567.77	0.0002	16.1	98.8	100	100	90	13.65	64.8	21.6	0	990.59	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	13836	2.39	222256	67534	2	91.68	3.29	10620	275	1954.48	2480.12	1954.48	0.0001	23.4	96	100	100	90	15.05	44.8	8.3	0	986.74	0	-0.003	13	888	489	89	604.48	30872.93
jquery	True	1106	2.26	100009	34722	1	99.5	2.88	1590	117	1808.2	1998.4	1808.2	0.1459	0	92.2	100	99.2	90	18.17	69.7	23.23	0	981.7	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	679	2.21	60102	15752	1	98.82	3.82	1577	118	1562.19	1833.79	1562.19	0.055	0.2	99	96	100	90	12.96	54.8	18.27	0	973.61	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.59	1703.53	1215.59	0.0002	0	100	100	100	100	14.27	44.8	14.93	0	989.85	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	700	2.18	27622	10088	1	100	2.74	1024	106	1359.67	1664.51	1359.67	0.0001	0	99.8	100	100	90	21.52	79.7	26.57	0	988.46	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1283	2.25	91158	34628	13	100	2.63	1579	116	1402.71	2126.58	1402.71	0.8032	0	79	96	100	90	21.47	84.7	28.23	0	997.71	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1287	2.31	158538	50256	1	100	3.15	1025	106	1947.05	2253.07	1947.05	0.0002	89.1	94.8	100	100	90	19.27	89.5	29.83	0	974.53	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1040	2.18	26458	9243	1	100	2.86	1584	118	1369.46	1555.29	1369.46	0.0001	0	99.6	100	100	90	20.75	64.7	21.57	0	978.58	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3003	2.27	117668	38610	11	68.6	3.05	1030	106	1667.63	2055.11	1667.63	0	0	98.4	100	96	90	16.98	69.7	23.23	0	961.55	0	0.013	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1305.84	1552.12	1305.84	0.146	0	94	100	96	90	13.86	59.9	19.97	0	972.32	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	616	2.17	17211	5999	1	96.97	2.87	1024	105	1209.25	1392.48	1209.25	0.0001	0	100	100	100	90	19.36	64.7	21.57	0	978.5	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1289	2.23	76585	29349	1	100	2.61	1598	116	1661.69	1857.74	1661.69	0.0001	0	99	100	100	90	20.12	74.7	24.9	0	975.05	0	-0.004	11	677	217	57	686.46	10853.47
