framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1362.85	1883.58	1362.85	0.0002	22.8	99.2	100	100	90	13.96	59.9	19.97	0	1360.63	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	5848	2.32	158642	51430	1	100	3.08	4877	105	1956.47	2309.91	1956.47	0.0001	1.8	97	100	100	90	15.85	69.8	23.27	0	1321.25	0	-0.006	13	764	424	88	631.62	27036.12
astro	True	1221	2.17	11475	3814	1	100	3.01	2082	110	1179.61	1509.61	1179.61	0.0001	0	100	100	100	90	17.61	99.7	33.23	0	1352.12	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	836	2.19	32881	9964	1	98.43	3.3	1021	106	1535.47	1688.51	1535.47	0.0001	4.6	99	100	100	90	18.21	89.7	29.9	0	1376.54	0	-0.003	13	713	452	91	678.96	24340.98
jquery	True	1027	2.26	100009	34722	1	99.5	2.88	1030	108	1834.9	2018.55	1834.9	0.1459	0	92	100	99.2	90	20.03	74.8	24.93	0	1338.49	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	632	2.21	59808	15719	1	98.81	3.8	1022	105	1547.91	1853.67	1547.91	0.055	0	99	96	100	90	18.78	49.9	16.63	0	1336.27	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1183.78	1733	1183.78	0.0002	0	99.8	100	100	100	15.45	49.8	16.6	0	1343.53	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1851	2.3	148231	46596	1	100	3.18	1021	105	1998	2262.6	1998	0.0002	0	97	100	100	90	21.16	84.7	28.23	0	1319.53	0	-0.003	12	741	421	89	579.82	24098.68
preact	True	645	2.18	27622	10088	1	100	2.74	1022	105	1358.39	1662.58	1358.39	0.0001	0	100	100	100	90	15.33	34.9	11.63	0	1325.71	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1106	2.25	91158	34628	13	100	2.63	1031	107	1416.8	2122.88	1416.8	0.8057	0	79	96	100	90	19.77	89.6	29.87	0	1332.83	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1141	2.31	158538	50256	1	100	3.15	1023	106	1961.36	2267.03	1961.36	0.0002	0	97	100	100	90	19.16	59.8	10.8	0	1318.89	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	962	2.18	26458	9243	1	100	2.86	1022	105	1388.02	1541.42	1388.02	0.0001	0	99.6	100	100	90	19.15	69.8	23.27	0	1339.13	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2616	2.27	117670	38611	11	68.6	3.05	1529	120	1667.96	2088.21	1667.96	0	0	98.2	100	96	90	15.53	34.9	11.63	0	1314.41	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.64	1554.12	1246.64	0.146	0	94	100	96	90	20.35	64.8	21.6	0	1340.29	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	547	2.17	17211	5999	1	96.97	2.87	1022	105	1210.82	1394.23	1210.82	0.0001	0	100	100	100	90	15.91	30	10	0	1333.76	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1187	2.23	76585	29349	1	100	2.61	1022	105	1659.92	1857.09	1659.92	0.0001	0	99	100	100	90	19.23	79.7	26.57	0	1319.9	0	-0.002	11	677	217	57	686.46	10853.47
