framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.74	2017.24	1758.74	0.0002	27.6	98.2	100	100	90	17.57	134.1	44.7	0	987.11	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14213	2.39	222256	67534	2	91.68	3.29	10718	247	1954.98	2486.07	1954.98	0.0001	29	96	100	100	90	14.29	139.2	46.4	0	997.36	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1197	2.26	100009	34722	1	99.5	2.88	1586	118	1842.83	2027.84	1842.83	0.1459	0	92	100	99.2	90	17.73	134.4	44.8	0	983.38	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	744	2.21	60102	15752	1	98.82	3.82	1599	117	1536.83	1849.24	1536.83	0.055	0.6	99	96	100	90	16.77	149.1	49.7	0	989.47	0	-0.006	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.49	1721.31	1214.49	0.0002	0	99.8	100	100	100	16.09	139.3	46.43	0	977.14	0	-0.009	4	321	234	67	154.88	17543.75
preact	True	756	2.18	27622	10088	1	100	2.74	1023	104	1360.49	1665.73	1360.49	0.0001	0	99.8	100	100	90	17.71	139.4	46.47	0	976.55	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1347	2.25	91158	34628	13	100	2.63	1594	117	1418.41	2127.82	1418.41	1.0032	0	74	96	100	90	16.76	134.4	44.8	0	988.19	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1315	2.31	158538	50256	1	100	3.15	1023	105	1944.51	2249.36	1944.51	0.0001	104.6	94.4	100	100	90	16.35	143.7	47.9	0	978.79	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1122	2.18	26458	9243	1	100	2.86	1611	119	1393.22	1549.73	1393.22	0.0001	0	99	100	100	90	17.92	144.2	48.07	0	986.67	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3092	2.27	117670	38617	11	68.6	3.05	1024	104	1670.13	2087.26	1670.13	0	2.4	98.2	100	96	90	16.97	139.3	46.43	0	974.2	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.94	1554.26	1246.94	0.146	0	94	100	96	90	17.82	134.4	44.8	0	974.65	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	677	2.17	17211	5999	1	96.97	2.87	1023	104	1211.82	1394.52	1211.82	0.0001	0	100	100	100	90	17.88	109.6	36.53	0	973.27	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1377	2.23	76585	29349	1	100	2.61	1596	116	1657.78	1853.86	1657.78	0.0001	0	99	100	100	90	18	138.9	46.3	0	988.91	0	-0.005	11	677	217	57	686.46	10853.47
