framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1753.1	2010.01	1753.1	0.0002	10.4	98.2	100	100	90	14.18	10	3.33	0	998.95	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	11212	2.39	222256	67534	2	91.68	3.29	8483	212	1954.72	2466.08	1954.72	0.0001	9	96	100	100	90	18.99	44.8	9.97	0	1005.54	0	-0.015	13	888	489	89	604.48	30872.93
jquery	True	924	2.26	100009	34722	1	99.5	2.88	1463	115	1820.61	2008.62	1820.61	0.1459	0	92	100	99.2	90	16.32	29.9	9.97	0	1004.73	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	583	2.21	60102	15752	1	98.82	3.82	1462	114	1538.99	1844.38	1538.99	0.055	0	99	96	100	90	13.14	49.8	16.6	0	983.79	0	-0.001	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1206.11	1679.03	1206.11	0.0001	0	100	100	100	100	15.48	44.8	14.93	0	999.86	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	584	2.18	27622	10088	1	100	2.74	1018	104	1358.33	1632.49	1358.33	0.0001	0	99.8	100	100	90	14.58	59.8	10.8	0	986.69	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1041	2.25	91158	34628	13	100	2.63	1477	113	1416.1	2120.83	1416.1	0.3996	0	89	96	100	90	12.87	49.9	16.63	0	996.2	0	-0.006	16	754	414	83	862.46	26425.59
react	True	1039	2.31	158538	50256	1	100	3.15	1023	104	1958.94	2263.41	1958.94	0.0002	0	97	100	100	90	25.95	44.8	9.13	0	989.3	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	874	2.18	26458	9243	1	100	2.86	1470	114	1354.28	1538.92	1354.28	0.0001	0	100	100	100	90	22.47	54.9	9.98	0	983.78	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2425	2.27	117670	38611	11	68.6	3.05	1020	104	1665.83	2053.57	1665.83	0	0	98.4	100	96	90	12.66	44.9	14.97	0	979.02	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1435.38	1731.25	1435.38	0.1168	0	94.2	100	96	90	13.03	54.8	18.27	0	999.54	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	511	2.17	17211	5999	1	96.97	2.87	1018	103	1207.16	1383.14	1207.16	0.0001	0	100	100	100	90	14.12	44.8	14.93	0	982.74	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1050	2.23	76585	29349	1	100	2.61	1458	114	1658.54	1847.41	1658.54	0.0001	0	99	100	100	90	14.5	44.9	14.97	0	984.69	0	-0.005	11	677	217	57	686.46	10853.47
