framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1561.27	2025.94	1561.27	0.0002	0.6	98.6	100	100	90	14.79	15	3.33	0	1444	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	4452	2.32	158642	51430	1	100	3.08	3854	104	1955.87	2299.41	1955.87	0.0001	0	97	100	100	90	23.92	20	6.67	0	1414.81	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	960	2.17	11475	3814	1	100	3.01	1670	109	1206.39	1506.39	1206.39	0	0	100	100	100	90	22.44	20	4.17	0	1461.12	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	654	2.19	32881	9964	1	98.43	3.3	1018	105	1534.3	1688.15	1534.3	0.0001	2	99	100	100	90	36.81	30	5.83	0	1462.96	94.8	-0.013	13	713	452	91	678.96	24340.98
jquery	True	839	2.26	100009	34722	1	99.5	2.88	1026	107	1816.5	2002.15	1816.5	0.1459	0	92	100	99.2	90	15.85	44.9	14.97	0	1441.37	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	514	2.21	59808	15719	1	98.81	3.8	1018	105	1540.1	1843.64	1540.1	0.055	0	99	96	100	90	20.66	15	5	0	1468.51	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	21.57	69.9	31.57	0	1455.41	49.9	0.003	4	321	234	67	154.88	17543.75
preact	True	503	2.18	27622	10088	1	100	2.74	1018	105	1359.85	1668.18	1359.85	0.0001	0	99.6	100	100	90	21.78	25	8.33	0	1450.29	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	917	2.25	91158	34628	13	100	2.63	1023	105	1416.46	2121.27	1416.46	0.6065	0	83.8	96	100	90	15.21	40	7.5	0	1428.61	0	-0.005	16	754	415	83	861.8	26425.59
react	True	933	2.31	158538	50256	1	100	3.15	1019	105	1956.43	2318.24	1956.43	0.0001	48.6	95.8	100	100	90	24.12	20	6.67	0	1446.53	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	792	2.18	26458	9243	1	100	2.86	1018	105	1354.61	1537.71	1354.61	0.0001	0	100	100	100	90	16.68	49.8	16.6	0	1436.77	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2086	2.27	117670	38611	11	68.6	3.05	1346	115	1662.77	2081.67	1662.77	0	0	98.2	100	96	90	16.04	20	8.33	0	1382.17	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1236.08	1532.84	1236.08	0.146	0	94	100	96	90	16.62	54.9	18.3	0	1440.47	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	465	2.17	17211	5999	1	96.97	2.87	1019	105	1214.02	1394.83	1214.02	0.0001	0	100	100	100	90	22.34	69.9	23.3	0	1385.32	59.9	0.005	3	743	388	76	74.17	22895.14
vue	True	970	2.23	76585	29349	1	100	2.61	1020	105	1659.3	1847.15	1659.3	0.0001	0	99	100	100	90	15.5	20	10	0	1439.89	0	-0.002	11	677	217	57	686.46	10853.47
