framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1775.09	2034.72	1775.09	0.0001	28.4	98.2	100	100	90	13.29	124.2	41.4	0	1347.17	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6611	2.32	158642	51430	1	100	3.08	5685	105	1956.38	2315.57	1956.38	0.0001	10	97	100	100	90	17.16	114.5	19.92	0	1334.92	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1458	2.17	11475	3814	1	100	3.01	2494	111	1210.89	1510.89	1210.89	0.0001	0	100	100	100	90	17.86	129.5	43.17	0	1371.85	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	982	2.19	32881	9964	1	98.43	3.3	1020	106	1513.63	1699.85	1513.63	0.0001	6	99	100	100	90	14.48	119.4	39.8	0	1330.73	0	-0.005	13	713	452	91	678.96	24340.98
jquery	True	1194	2.26	100009	34722	1	99.5	2.88	1032	108	1834.77	2029.05	1834.77	0.1459	0	92	100	99.2	90	17.5	124.3	41.43	0	1337.29	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	763	2.21	59808	15719	1	98.81	3.8	1024	105	1551.27	1857.11	1551.27	0.055	2.6	99	96	100	90	13.37	114.5	38.17	0	1340.48	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1212.99	1695.65	1212.99	0.0001	0	100	100	100	100	15.55	94.3	31.43	0	1321.04	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	2053	2.3	148231	46596	1	100	3.18	1022	106	2001.03	2265.94	2001.03	0.0002	0	97	100	100	90	16.68	134.3	23.22	0	1322.42	0	-0.008	12	741	421	89	579.82	24098.68
preact	True	767	2.18	27622	10088	1	100	2.74	1023	105	1359.65	1664.47	1359.65	0.0001	0	99.6	100	100	90	14.64	124.5	14.94	0	1321.12	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1270	2.25	91158	34628	13	100	2.63	1036	107	1418.79	2129.11	1418.79	1.0015	0	74	96	100	90	14.52	114.4	38.13	0	1342.59	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1265	2.31	158538	50256	1	100	3.15	1024	106	1944.53	2249.9	1944.53	0.0001	60.7	95.8	100	100	90	14.9	89.6	15.77	0	1324.02	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1140	2.18	26458	9243	1	100	2.86	1024	106	1393.13	1547.3	1393.13	0.0001	0	99.8	100	100	90	14.61	119.5	39.83	0	1336.17	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3003	2.27	117668	38612	11	68.6	3.05	1728	122	1671.72	2091.46	1671.72	0	0	98.2	100	96	90	15.02	114.4	38.13	0	1312.62	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.75	1546.67	1251.75	0.1461	0	94	100	96	90	15.36	99.6	33.2	0	1322.84	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	661	2.17	17211	5999	1	96.97	2.87	1024	105	1211.07	1396	1211.07	0.0001	0	100	100	100	90	15.04	109.4	36.47	0	1333.99	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1380	2.23	76585	29349	1	100	2.61	1023	105	1660.66	1859.59	1660.66	0.0001	0	99	100	100	90	14.61	119.3	20.72	0	1329.62	0	-0.003	11	677	217	57	686.46	10853.47
