framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1760.38	2013.98	1760.38	0.0002	27.6	98.2	100	100	90	14.16	54.8	18.27	0	990.02	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14501	2.39	222256	67534	2	91.68	3.29	10769	259	1956.08	2486.71	1956.08	0.0001	27.6	96	100	100	90	12.73	84.7	28.23	0	977.14	0	-0.007	13	888	489	89	604.48	30872.93
jquery	True	1214	2.26	100009	34722	1	99.5	2.88	1620	118	1841.45	2013.48	1841.45	0.1459	0	92	100	99.2	90	13.99	104.5	34.83	0	987.78	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	754	2.21	60102	15752	1	98.82	3.82	1593	117	1559.57	1826.14	1559.57	0.055	0.6	99	96	100	90	12.75	94.6	31.53	0	985.41	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1211.49	1700.19	1211.49	0.0002	0	99.8	100	100	100	14.27	69.7	23.23	0	969.92	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	762	2.18	27622	10088	1	100	2.74	1024	104	1366.28	1679.92	1366.28	0.0001	0	99.4	100	100	90	12.61	89.6	29.87	0	974.91	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1353	2.25	91158	34628	13	100	2.63	1608	117	1387.58	2125.7	1387.58	0.8074	0	79	96	100	90	12.64	109.6	36.53	0	978.79	0	-0.009	16	754	414	83	862.46	26425.59
react	True	1354	2.31	158538	50256	1	100	3.15	1023	105	1941.05	2253.17	1941.05	0.0001	69.8	95.4	100	100	90	12.71	89.7	29.9	0	973.11	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1125	2.18	26458	9243	1	100	2.86	1594	117	1360.5	1544.95	1360.5	0.0001	0	99.6	100	100	90	12.83	74.7	24.9	0	975.56	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	3122	2.27	117668	38610	11	68.6	3.05	1025	104	1668.15	2085.56	1668.15	0	0	98.2	100	96	90	12.55	74.6	24.87	0	962.62	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1245.22	1547.36	1245.22	0.146	0	94	100	96	90	13.12	99.6	33.2	0	968.54	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	671	2.17	17211	5999	1	96.97	2.87	1023	104	1208.49	1390.53	1208.49	0.0001	0	100	100	100	90	13.73	99.6	33.2	0	961.14	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1358	2.23	76585	29349	1	100	2.61	1605	117	1656.75	1851.32	1656.75	0.0001	0	99	100	100	90	14.52	84.7	28.23	0	982.44	0	-0.005	11	677	217	57	686.46	10853.47
