framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1665.02	2025.95	1665.02	0.0002	24.2	98.4	100	100	90	19.99	99.5	33.17	0	1326.55	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6286	2.32	158642	51430	1	100	3.08	5278	104	1958.98	2317.47	1958.98	0.0001	7.4	97	100	100	90	15.91	124.3	21.55	0	1373.02	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1328	2.17	11475	3814	1	100	3.01	2285	108	1208.36	1508.36	1208.36	0.0001	0	100	100	100	90	13.27	89.7	29.9	0	1317.77	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	918	2.19	32881	9964	1	98.43	3.3	1019	105	1541.14	1697.11	1541.14	0.0001	1.6	99	100	100	90	14.44	109.7	36.57	0	1322.42	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	1109	2.26	100009	34722	1	99.5	2.88	1032	106	1825.58	2015.28	1825.58	0.1459	0	92	100	99.2	90	15.3	109.4	36.47	0	1355.53	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	700	2.21	59808	15719	1	98.81	3.8	1022	104	1548.21	1854.91	1548.21	0.055	1	99	96	100	90	15.16	119.5	39.83	0	1319.26	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.13	1826.6	1216.13	0.0001	0	99.6	100	100	100	18.34	144.3	48.1	0	1317.9	0	-0.005	4	321	234	67	154.88	17543.75
octane	True	1905	2.3	148231	46596	1	100	3.18	1019	104	2002.09	2266.04	2002.09	0.0002	0	97	100	100	90	13.24	109.4	36.47	0	1314.33	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	700	2.18	27622	10088	1	100	2.74	1022	104	1364.11	1644.86	1364.11	0.0001	0	99.6	100	100	90	18.48	119.5	39.83	0	1369.31	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1164	2.25	91158	34628	13	100	2.63	1030	106	1431.8	2123.27	1431.8	0.7916	0	79	96	100	90	19.45	99.5	33.17	0	1318.64	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1214	2.31	158538	50256	1	100	3.15	1022	104	1951.72	2257.19	1951.72	0.0002	72.9	95.2	100	100	90	18.42	114.6	19.93	0	1355.68	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1062	2.18	26458	9243	1	100	2.86	1021	104	1392.37	1547.85	1392.37	0.0001	0	99.2	100	100	90	14.4	124.4	41.47	0	1328.3	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2819	2.27	117670	38606	11	68.6	3.05	1682	120	1666.45	2087.09	1666.45	0	0	98.2	100	96	90	13.61	119.6	39.87	0	1332.96	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.74	1540.99	1241.74	0.146	0	94	100	96	90	18.02	124.6	41.53	0	1330.68	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	619	2.17	17211	5999	1	96.97	2.87	1022	104	1211.45	1395.37	1211.45	0.0001	0	100	100	100	90	14.56	94.6	31.53	0	1312.48	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1253	2.23	76585	29349	1	100	2.61	1022	104	1659.05	1853.97	1659.05	0.0001	0	99	100	100	90	15.74	114.5	38.17	0	1363.26	0	-0.004	11	677	217	57	686.46	10853.47
