framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1367.74	1884.74	1367.74	0.0003	4.2	99.2	100	100	90	14.5	10	3.33	0	1033.55	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	5466	2.4	235945	71051	1	92.17	3.32	4261	103	1802.68	2429.82	1802.68	0.0001	5.8	96.2	100	100	90	19.24	94.8	31.6	0	1036.6	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	870	2.26	100009	34722	1	99.5	2.88	1443	114	1825.84	2008.56	1825.84	0.1459	0	92	100	99.2	90	19.77	114.8	38.27	0	1028.23	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	546	2.21	59808	15719	1	98.81	3.8	1449	112	1540.74	1845.82	1540.74	0.055	0	99	96	100	90	15.32	15	5	0	1030.24	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.22	144.5	36.12	0	1034.79	34.9	-0.003	4	321	234	67	154.88	17543.75
preact	True	550	2.18	27622	10088	1	100	2.74	1020	104	1359.11	1663.66	1359.11	0.0001	0	99.8	100	100	90	19.12	35	11.67	0	1038.03	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	910	2.25	91158	34628	13	100	2.63	1436	112	1430.79	2119.31	1430.79	0.8056	0	79	96	100	90	19.14	84.9	28.3	0	1039.66	0	-0.005	16	754	415	83	861.8	26425.59
react	True	923	2.31	158538	50256	1	100	3.15	1018	104	1959.91	2264.87	1959.91	0.0001	0	97	100	100	90	13.54	49.9	16.63	0	1031.41	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	810	2.18	26458	9243	1	100	2.86	1431	112	1355.32	1539.88	1355.32	0.0001	0	100	100	100	90	13.86	30	10	0	1019.23	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2197	2.27	117670	38608	11	68.6	3.05	1018	104	1666.19	2114.35	1666.19	0	0	98	100	96	90	17.92	74.9	24.97	0	1022.55	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1235.81	1537.28	1235.81	0.146	0	94	100	96	90	14.81	10	6.67	0	1023.84	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	462	2.17	17211	5999	1	96.97	2.87	1019	103	1206.44	1382.66	1206.44	0.0001	0	100	100	100	90	15.11	5	1.67	0	1026.38	0	0.002	3	743	388	76	74.17	22895.14
vue	True	965	2.23	76585	29349	1	100	2.61	1459	112	1658.36	1847.93	1658.36	0.0001	0	99	100	100	90	22.16	20	6.67	0	1033.95	0	-0.008	11	677	217	57	686.46	10853.47
