framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1668.67	1896.9	1668.67	0.0003	25.7	98.6	100	100	90	12.94	64.8	21.6	0	1074.92	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6409	2.32	158642	51430	1	100	3.08	5482	104	1958.13	2314.39	1958.13	0.0001	6.2	97	100	100	90	13.65	69.8	23.27	0	1075.98	0	-0.006	13	764	424	88	631.62	27036.12
astro	True	1388	2.17	11475	3814	1	100	3.01	2287	109	1213.25	1513.25	1213.25	0.0001	0	100	100	100	90	12.44	69.7	12.45	0	1079.74	0	-0.006	4	546	372	73	159.38	18153.98
geajs	True	978	2.19	32881	9964	1	98.43	3.3	1021	105	1523.14	1703.29	1523.14	0.0001	3.2	99	100	100	90	17.36	84.7	28.23	0	1078.59	0	-0.018	13	713	452	91	678.96	24340.98
jquery	True	1146	2.26	100009	34722	1	99.5	2.88	1032	107	1843.71	2018.57	1843.71	0.1459	0	92	100	99.2	90	17.23	104.6	18.27	0	1078.9	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	737	2.21	59808	15719	1	98.81	3.8	1022	105	1547.52	1853.78	1547.52	0.055	2.8	99	96	100	90	12.46	64.8	21.6	0	1056.21	0	-0.005	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.35	109.6	44.36	0	1055.49	34.9	-0.004	4	321	234	67	154.88	17543.75
preact	True	745	2.18	27622	10088	1	100	2.74	1022	105	1363.21	1671.62	1363.21	0.0001	0	99.4	100	100	90	12.42	64.8	21.6	0	1076.77	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1243	2.25	91158	34628	13	100	2.63	1030	107	1433.94	2128.86	1433.94	0.8072	0	79	96	100	90	12.41	74.8	24.93	0	1077.45	0	-0.01	16	754	415	83	861.8	26425.59
react	True	1274	2.31	158538	50256	1	100	3.15	1023	105	1939.83	2244.24	1939.83	0.0001	53	96	100	100	90	14.05	69.8	23.27	0	1066	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1118	2.18	26458	9243	1	100	2.86	1023	105	1388.42	1543.73	1388.42	0.0001	0	99.6	100	100	90	12.5	69.6	12.43	0	1061.18	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2928	2.27	117668	38605	11	68.6	3.05	1734	121	1665.9	2114.84	1665.9	0	0	98	100	96	90	17.51	99.5	33.17	0	1049.09	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1254.88	1552.64	1254.88	0.146	0.6	94	100	96	90	12.55	64.7	21.57	0	1075.13	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	652	2.17	17211	5999	1	96.97	2.87	1025	105	1214.04	1397.66	1214.04	0.0001	0	100	100	100	90	14.05	54.7	18.23	0	1070.04	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1326	2.23	76585	29349	1	100	2.61	1023	105	1629.32	1853.97	1629.32	0.0001	0	99	100	100	90	14.21	64.7	21.57	0	1071.64	0	-0.006	11	677	217	57	686.46	10853.47
