framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1466.31	1891.7	1466.31	0.0002	21.2	99	100	100	90	18.51	69.7	23.23	0	989.35	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	14706	2.39	222256	67534	2	91.68	3.29	11521	274	1954.99	2486.89	1954.99	0.0001	29.4	96	100	100	90	18.15	79.6	26.53	0	994.5	0	-0.005	13	888	489	89	604.48	30872.93
jquery	True	1255	2.26	100009	34722	1	99.5	2.88	1584	118	1848.2	2026.5	1848.2	0.1459	0	92	100	99.2	90	21.27	74.7	24.9	0	977.83	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	768	2.21	60102	15752	1	98.82	3.82	1604	118	1561.41	1832.59	1561.41	0.055	1.4	99	96	100	90	20.26	89.7	29.9	0	985.94	0	-0.002	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1255.14	1815.95	1255.14	0.0001	0	99.6	100	100	100	18.61	84.7	28.23	0	988.73	0	-0.004	4	321	234	67	154.88	17543.75
preact	True	775	2.18	27622	10088	1	100	2.74	1025	105	1362.56	1670.65	1362.56	0.0001	0	99.6	100	100	90	19.68	84.6	28.2	0	988.16	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1411	2.25	91158	34628	13	100	2.63	1612	117	1433.25	2128.26	1433.25	0.7962	0	78.8	96	100	90	18.32	74.6	24.87	0	994.47	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1391	2.31	158538	50256	1	100	3.15	1023	106	1946.25	2251.88	1946.25	0.0002	44.6	96.4	100	100	90	19.17	79.7	26.57	0	984.36	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1151	2.18	26458	9243	1	100	2.86	1617	117	1390.96	1545.33	1390.96	0.0001	0	99.4	100	100	90	16.55	79.8	26.6	0	978.56	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3199	2.27	117670	38612	11	68.6	3.05	1030	105	1670.93	2087.94	1670.93	0	0	98.2	100	96	90	14.39	69.8	23.27	0	970.21	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1317.58	1567.25	1317.58	0.146	0	94	100	96	90	21.4	69.8	23.27	0	977.25	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	694	2.17	17211	5999	1	96.97	2.87	1024	105	1246.16	1504.79	1246.16	0.0001	0	100	100	100	90	17.87	94.6	31.53	0	966.41	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1398	2.23	76585	29349	1	100	2.61	1631	118	1608.53	1869.09	1608.53	0.0001	1.8	99	100	100	90	14.36	74.7	24.9	0	974.38	0	-0.003	11	677	217	57	686.46	10853.47
